design,population,design_type,n,mode,y,true_total,mean_nht,true_var_nht,E_vLM_q2,ratio_vLM_q2,relbias_vLM_q2,E_vLM_q3,ratio_vLM_q3,relbias_vLM_q3,E_vLM_q4,ratio_vLM_q4,relbias_vLM_q4,E_vLM_q5,ratio_vLM_q5,relbias_vLM_q5,E_vLM_q8,ratio_vLM_q8,relbias_vLM_q8,E_VarB_a00,ratio_VarB_a00,relbias_VarB_a00,E_VarB_a02,ratio_VarB_a02,relbias_VarB_a02,E_VarB_a025,ratio_VarB_a025,relbias_VarB_a025,E_VarB_a03,ratio_VarB_a03,relbias_VarB_a03,E_VarB_a035,ratio_VarB_a035,relbias_VarB_a035,E_VarB_a04,ratio_VarB_a04,relbias_VarB_a04,E_VarB_a05,ratio_VarB_a05,relbias_VarB_a05,E_VarB_a075,ratio_VarB_a075,relbias_VarB_a075,E_VarB_a10,ratio_VarB_a10,relbias_VarB_a10,best_lm_q,best_lm_value,best_lm_ratio,best_lm_relbias,best_varb_alpha_name,best_varb_value,best_varb_ratio,best_varb_relbias
aggregated_best_20_ep,aggregated,best,20,ep,z,2890.7252931792573,2890.7252931792573,11592.043952496666,20618.26938030864,1.7786569361538633,0.7786569361538633,16814.393224694282,1.4505115140693405,0.45051151406934054,17610.905731182153,1.5192235125531213,0.5192235125531213,20104.33502975552,1.7343218428209546,0.7343218428209546,31392.868004933567,2.7081391455708075,1.7081391455708075,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651254,1.1891581766028694,0.18915817660286938,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651252,1.1891581766028692,0.18915817660286915,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,3,16814.393224694282,1.4505115140693405,0.45051151406934054,00,13784.77384965125,1.189158176602869,0.18915817660286893
aggregated_best_20_ep,aggregated,best,20,ep,plane,2890.7252931792573,2890.7252931792573,11592.043952496666,20618.26938030864,1.7786569361538633,0.7786569361538633,16814.393224694282,1.4505115140693405,0.45051151406934054,17610.905731182153,1.5192235125531213,0.5192235125531213,20104.33502975552,1.7343218428209546,0.7343218428209546,31392.868004933567,2.7081391455708075,1.7081391455708075,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651254,1.1891581766028694,0.18915817660286938,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.773849651252,1.1891581766028692,0.18915817660286915,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,13784.77384965125,1.189158176602869,0.18915817660286893,3,16814.393224694282,1.4505115140693405,0.45051151406934054,00,13784.77384965125,1.189158176602869,0.18915817660286893
aggregated_best_20_ep,aggregated,best,20,ep,peak,7263.699970585046,7263.699970585045,26938.659350133385,186686.05635152213,6.930042580259205,5.930042580259205,174234.54856563706,6.467825525429288,5.467825525429288,172912.12076211532,6.418735190742117,5.418735190742117,176856.1275613373,6.565142135050667,5.565142135050667,183506.39683453442,6.81200925589587,5.81200925589587,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,44320.07393747419,1.6452219600621938,0.6452219600621938,44320.0739374742,1.645221960062194,0.645221960062194,44320.07393747419,1.6452219600621938,0.6452219600621938,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,44320.0739374742,1.645221960062194,0.645221960062194,4,172912.12076211532,6.418735190742117,5.418735190742117,03,44320.07393747419,1.6452219600621938,0.6452219600621938
aggregated_best_20_ep,aggregated,best,20,ep,bird,6671.0377551274105,6671.0377551274105,45115.21221798892,261728.36276982402,5.801332852103139,4.801332852103139,241613.67849262292,5.355481369015562,4.355481369015562,235012.3496829056,5.209159796198375,4.209159796198375,228504.3473175493,5.064906848125988,4.064906848125988,213181.0972292805,4.725259768240172,3.7252597682401722,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.214716841314,0.8993244788653225,-0.10067552113467748,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.21471684131,0.8993244788653223,-0.1006755211346777,40573.214716841314,0.8993244788653225,-0.10067552113467748,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.2147168413,0.8993244788653222,-0.10067552113467781,40573.2147168413,0.8993244788653222,-0.10067552113467781,8,213181.0972292805,4.725259768240172,3.7252597682401722,02,40573.214716841314,0.8993244788653225,-0.10067552113467748
aggregated_best_50_ep,aggregated,best,50,ep,z,2890.7252931792573,2890.7252931792573,538.0383998388587,2619.638245552515,4.868868553503042,3.8688685535030416,2033.3071333537328,3.779111554050238,2.779111554050238,2015.2613480896225,3.7455715961782445,2.7455715961782445,2402.7858117213113,4.4658258823922985,3.4658258823922985,3742.290832264018,6.955434469704812,5.955434469704812,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965362,3.5800687980141066,2.5800687980141066,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965335,3.5800687980141017,2.5800687980141017,1926.2144873965333,3.5800687980141013,2.5800687980141013,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,4,2015.2613480896225,3.7455715961782445,2.7455715961782445,035,1926.2144873965333,3.5800687980141013,2.5800687980141013
aggregated_best_50_ep,aggregated,best,50,ep,plane,2890.7252931792573,2890.7252931792573,538.0383998388587,2619.638245552515,4.868868553503042,3.8688685535030416,2033.3071333537328,3.779111554050238,2.779111554050238,2015.2613480896225,3.7455715961782445,2.7455715961782445,2402.7858117213113,4.4658258823922985,3.4658258823922985,3742.290832264018,6.955434469704812,5.955434469704812,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965362,3.5800687980141066,2.5800687980141066,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.2144873965335,3.5800687980141017,2.5800687980141017,1926.2144873965333,3.5800687980141013,2.5800687980141013,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,1926.214487396534,3.5800687980141026,2.5800687980141026,4,2015.2613480896225,3.7455715961782445,2.7455715961782445,035,1926.2144873965333,3.5800687980141013,2.5800687980141013
aggregated_best_50_ep,aggregated,best,50,ep,peak,7263.699970585046,7263.699970585045,4907.896100426886,30667.57879047653,6.2486202158617585,5.2486202158617585,27558.34661859738,5.615103917175503,4.615103917175503,31297.959900367,6.377062443853431,5.377062443853431,35805.05488964751,7.2953978969793605,6.2953978969793605,46019.95046244347,9.376716523897212,8.376716523897212,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.169751188864,1.4908974439276377,0.4908974439276377,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.169751188861,1.4908974439276368,0.4908974439276368,7317.169751188856,1.490897443927636,0.4908974439276359,7317.169751188862,1.4908974439276372,0.49089744392763723,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.16975118886,1.4908974439276366,0.49089744392763657,7317.16975118886,1.4908974439276366,0.49089744392763657,3,27558.34661859738,5.615103917175503,4.615103917175503,035,7317.169751188856,1.490897443927636,0.4908974439276359
aggregated_best_50_ep,aggregated,best,50,ep,bird,6671.0377551274105,6671.0377551274105,9162.792160333871,45540.41645537721,4.97014618017024,3.9701461801702402,47119.115728515855,5.142440743390052,4.142440743390052,51862.41839221971,5.660110748417321,4.660110748417321,58456.96380043587,6.379819903969734,5.379819903969734,69223.39635019466,7.554836466755819,6.554836466755819,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261916,1.1315189475916405,0.1315189475916405,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261905,1.1315189475916394,0.1315189475916394,10367.872942261909,1.1315189475916398,0.13151894759163985,10367.872942261909,1.1315189475916398,0.13151894759163985,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261907,1.1315189475916396,0.13151894759163962,10367.872942261907,1.1315189475916396,0.13151894759163962,2,45540.41645537721,4.97014618017024,3.9701461801702402,03,10367.872942261905,1.1315189475916394,0.1315189475916394
aggregated_initial_20_ep,aggregated,initial,20,ep,z,2890.7252931792573,2890.7252931792573,26278.907308649246,20315.84486814817,0.7730856016780258,-0.22691439832197424,16240.958204342121,0.6180225841809143,-0.38197741581908573,19299.282804354996,0.7344020273629479,-0.2655979726370521,22023.152570726437,0.838054349523045,-0.16194565047695497,32030.71209966526,1.2188753407232769,0.21887534072327686,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.221076417834,0.7651087178118787,-0.23489128218812128,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,5,22023.152570726437,0.838054349523045,-0.16194565047695497,02,20106.221076417834,0.7651087178118787,-0.23489128218812128
aggregated_initial_20_ep,aggregated,initial,20,ep,plane,2890.7252931792573,2890.7252931792573,26278.907308649246,20315.84486814817,0.7730856016780258,-0.22691439832197424,16240.958204342121,0.6180225841809143,-0.38197741581908573,19299.282804354996,0.7344020273629479,-0.2655979726370521,22023.152570726437,0.838054349523045,-0.16194565047695497,32030.71209966526,1.2188753407232769,0.21887534072327686,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.221076417834,0.7651087178118787,-0.23489128218812128,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,20106.22107641783,0.7651087178118786,-0.2348912821881214,5,22023.152570726437,0.838054349523045,-0.16194565047695497,02,20106.221076417834,0.7651087178118787,-0.23489128218812128
