design,population,n,mode,y,true_var,rb_Tille_LM_j3,rb_VarB_a035,rb_VarB_a040,rb_simple_LM_q8,rb_Tille_LM_j3_pct,rb_VarB_a035_pct,rb_VarB_a040_pct,rb_simple_LM_q8_pct
aggregated_best_20_ep,aggregated,20,ep,z,11592.043952496666,0.111957362576526,0.18915817660286915,0.18915817660286893,1.7081391455708075,11.1957362576526,18.915817660286915,18.915817660286894,170.81391455708075
aggregated_best_20_ep,aggregated,20,ep,plane,11592.043952496666,0.111957362576526,0.18915817660286915,0.18915817660286893,1.7081391455708075,11.1957362576526,18.915817660286915,18.915817660286894,170.81391455708075
aggregated_best_20_ep,aggregated,20,ep,peak,26938.659350133385,2.4238861809192804,0.645221960062194,0.6452219600621938,5.81200925589587,242.38861809192804,64.5221960062194,64.52219600621937,581.200925589587
aggregated_best_20_ep,aggregated,20,ep,bird,45115.21221798892,1.3764070547714113,-0.10067552113467748,-0.10067552113467781,3.7252597682401722,137.64070547714113,-10.067552113467748,-10.067552113467782,372.5259768240172
aggregated_best_50_ep,aggregated,50,ep,z,538.0383998388587,1.4136264626837014,2.5800687980141013,2.5800687980141026,5.955434469704812,141.36264626837013,258.00687980141015,258.00687980141026,595.5434469704812
aggregated_best_50_ep,aggregated,50,ep,plane,538.0383998388587,1.4136264626837014,2.5800687980141013,2.5800687980141026,5.955434469704812,141.36264626837013,258.00687980141015,258.00687980141026,595.5434469704812
aggregated_best_50_ep,aggregated,50,ep,peak,4907.896100426886,1.8500829025198726,0.4908974439276359,0.49089744392763723,8.376716523897212,185.00829025198726,49.08974439276359,49.08974439276372,837.6716523897212
aggregated_best_50_ep,aggregated,50,ep,bird,9162.792160333871,1.3898437823264347,0.13151894759163985,0.13151894759163985,6.554836466755819,138.98437823264348,13.151894759163984,13.151894759163984,655.4836466755819
aggregated_initial_20_ep,aggregated,20,ep,z,26278.907308649246,-0.6240066590643645,-0.2348912821881214,-0.2348912821881214,0.21887534072327686,-62.400665906436444,-23.489128218812137,-23.489128218812137,21.887534072327686
aggregated_initial_20_ep,aggregated,20,ep,plane,26278.907308649246,-0.6240066590643645,-0.2348912821881214,-0.2348912821881214,0.21887534072327686,-62.400665906436444,-23.489128218812137,-23.489128218812137,21.887534072327686
aggregated_initial_20_ep,aggregated,20,ep,peak,57586.78913759953,0.18096362352623863,-0.3812969910165508,-0.3812969910165507,2.0992260341263944,18.096362352623864,-38.12969910165508,-38.12969910165507,209.92260341263943
aggregated_initial_20_ep,aggregated,20,ep,bird,95779.19072786186,-0.0939108147227411,-0.5269651042404235,-0.5269651042404234,1.1744002647524714,-9.39108147227411,-52.69651042404235,-52.696510424042344,117.44002647524714
aggregated_initial_50_ep,aggregated,50,ep,z,9172.22452826299,-0.9055562715981941,-0.2798574241537629,-0.279857424153763,-0.5893329012337039,-90.55562715981941,-27.98574241537629,-27.9857424153763,-58.933290123370384
aggregated_initial_50_ep,aggregated,50,ep,plane,9172.22452826299,-0.9055562715981941,-0.2798574241537629,-0.279857424153763,-0.5893329012337039,-90.55562715981941,-27.98574241537629,-27.9857424153763,-58.933290123370384
aggregated_initial_50_ep,aggregated,50,ep,peak,3582.466139528048,1.535834807342081,0.4599576599093784,0.45995765990937754,10.970877114353948,153.5834807342081,45.99576599093784,45.995765990937755,1097.0877114353948
aggregated_initial_50_ep,aggregated,50,ep,bird,5680.317756012348,1.7136740063726132,1.0432144841669224,1.0432144841669215,11.124142463160334,171.3674006372613,104.32144841669225,104.32144841669215,1112.4142463160333
meuse_best_10_ep,meuse,10,ep,z,23756.039999999997,-0.24349010947390382,-0.6900473012472863,-0.6900473012472863,0.4413181243854196,-24.349010947390383,-69.00473012472862,-69.00473012472862,44.131812438541964
meuse_best_10_up,meuse,10,up,z,6561.174380841727,-0.5013679606319494,0.08067689736117778,0.30329766665687785,0.06905493560694298,-50.13679606319494,8.067689736117778,30.329766665687785,6.905493560694298
meuse_best_20_ep,meuse,20,ep,z,11087.379438978296,-0.35778560775824664,-0.6245603833082349,-0.6245603833082349,0.4995647353427437,-35.778560775824666,-62.456038330823496,-62.456038330823496,49.95647353427437
meuse_best_20_up,meuse,20,up,z,2187.4232930875633,-0.42791632457694195,0.1746183893485802,0.38826008226208164,0.5899320631508127,-42.79163245769419,17.461838934858022,38.82600822620817,58.99320631508127
meuse_best_5_ep,meuse,5,ep,z,60441.98261183223,-0.3668565402985625,-0.7615337196297441,-0.7615337196297443,-0.21926235034979014,-36.68565402985625,-76.15337196297442,-76.15337196297443,-21.926235034979015
meuse_best_5_up,meuse,5,up,z,14003.850619417955,-0.5165265825537295,0.452526943129415,0.8079772927986419,-0.2998360206367109,-51.652658255372955,45.2526943129415,80.7977292798642,-29.98360206367109
meuse_initial_10_ep,meuse,10,ep,z,31012.364999999998,-0.43663303843136014,-0.7931998851051415,-0.7931998851051415,0.08017571176851579,-43.66330384313601,-79.31998851051415,-79.31998851051415,8.017571176851579
meuse_initial_10_up,meuse,10,up,z,4780.401306970731,-0.29186628232682765,0.3923663358927132,0.6302844484625569,0.537333549234662,-29.186628232682764,39.23663358927132,63.028444846255695,53.7333549234662
