population,design,n,mode,y,true_var,rb_Tille_LM_j3_pct,rb_VarB_a035_pct,rb_VarB_a040_pct
aggregated,aggregated_best_20_ep,20,ep,z,11592.043952496666,11.1957362576526,18.915817660286915,18.915817660286894
aggregated,aggregated_best_20_ep,20,ep,plane,11592.043952496666,11.1957362576526,18.915817660286915,18.915817660286894
aggregated,aggregated_best_20_ep,20,ep,peak,26938.659350133385,242.38861809192804,64.5221960062194,64.52219600621937
aggregated,aggregated_best_20_ep,20,ep,bird,45115.21221798892,137.64070547714113,-10.067552113467748,-10.067552113467782
aggregated,aggregated_best_50_ep,50,ep,z,538.0383998388587,141.36264626837013,258.00687980141015,258.00687980141026
aggregated,aggregated_best_50_ep,50,ep,plane,538.0383998388587,141.36264626837013,258.00687980141015,258.00687980141026
aggregated,aggregated_best_50_ep,50,ep,peak,4907.896100426886,185.00829025198726,49.08974439276359,49.08974439276372
aggregated,aggregated_best_50_ep,50,ep,bird,9162.792160333871,138.98437823264348,13.151894759163984,13.151894759163984
aggregated,aggregated_initial_20_ep,20,ep,z,26278.907308649246,-62.400665906436444,-23.489128218812137,-23.489128218812137
aggregated,aggregated_initial_20_ep,20,ep,plane,26278.907308649246,-62.400665906436444,-23.489128218812137,-23.489128218812137
aggregated,aggregated_initial_20_ep,20,ep,peak,57586.78913759953,18.096362352623864,-38.12969910165508,-38.12969910165507
aggregated,aggregated_initial_20_ep,20,ep,bird,95779.19072786186,-9.39108147227411,-52.69651042404235,-52.696510424042344
aggregated,aggregated_initial_50_ep,50,ep,z,9172.22452826299,-90.55562715981941,-27.98574241537629,-27.9857424153763
aggregated,aggregated_initial_50_ep,50,ep,plane,9172.22452826299,-90.55562715981941,-27.98574241537629,-27.9857424153763
aggregated,aggregated_initial_50_ep,50,ep,peak,3582.466139528048,153.5834807342081,45.99576599093784,45.995765990937755
aggregated,aggregated_initial_50_ep,50,ep,bird,5680.317756012348,171.3674006372613,104.32144841669225,104.32144841669215
meuse,meuse_best_10_ep,10,ep,z,23756.039999999997,-24.349010947390383,-69.00473012472862,-69.00473012472862
meuse,meuse_best_10_up,10,up,z,6561.174380841727,-50.13679606319494,8.067689736117778,30.329766665687785
meuse,meuse_best_20_ep,20,ep,z,11087.379438978296,-35.778560775824666,-62.456038330823496,-62.456038330823496
meuse,meuse_best_20_up,20,up,z,2187.4232930875633,-42.79163245769419,17.461838934858022,38.82600822620817
meuse,meuse_best_5_ep,5,ep,z,60441.98261183223,-36.68565402985625,-76.15337196297442,-76.15337196297443
meuse,meuse_best_5_up,5,up,z,14003.850619417955,-51.652658255372955,45.2526943129415,80.7977292798642
meuse,meuse_initial_10_ep,10,ep,z,31012.364999999998,-43.66330384313601,-79.31998851051415,-79.31998851051415
meuse,meuse_initial_10_up,10,up,z,4780.401306970731,-29.186628232682764,39.23663358927132,63.028444846255695
meuse,meuse_initial_20_ep,20,ep,z,9262.648749999997,-18.529380390969596,-57.10252818237576,-57.10252818237576
meuse,meuse_initial_20_up,20,up,z,3358.1447160666103,-66.51899964472929,-15.581825364728452,2.1561350815131552
meuse,meuse_initial_5_ep,5,ep,z,54319.560103552896,-31.6668958827942,-69.21937518587917,-69.21937518587917
meuse,meuse_initial_5_up,5,up,z,10462.44942565605,-22.645601347508926,38.8289893357318,67.39690956499547
regular,regular_best_20_ep,20,ep,z,22910.68073108713,-5.147942881349,55.47945728417065,55.47945728417065
regular,regular_best_20_ep,20,ep,plane,22910.68073108713,-5.147942881349,55.47945728417065,55.47945728417065
regular,regular_best_20_ep,20,ep,peak,8370.546348777345,1438.163045194847,351.472424270762,351.47242427076213
regular,regular_best_20_ep,20,ep,bird,36627.95952455807,189.4114919066496,-5.773281527577845,-5.773281527577834
regular,regular_best_50_ep,50,ep,z,8263.653000733491,-66.22303287136512,28.206367357524087,28.20636735752411
regular,regular_best_50_ep,50,ep,plane,8263.653000733491,-66.22303287136512,28.206367357524087,28.20636735752411
regular,regular_best_50_ep,50,ep,peak,2040.4966038091702,1419.2986752885245,459.4840315332266,459.48403153322613
regular,regular_best_50_ep,50,ep,bird,3911.181900508298,664.2913043319128,207.2448550325024,207.2448550325024
regular,regular_initial_20_ep,20,ep,z,50790.31994682624,-60.0096309169162,12.12536136952358,12.12536136952358
regular,regular_initial_20_ep,20,ep,plane,50790.31994682624,-60.0096309169162,12.12536136952358,12.12536136952358
regular,regular_initial_20_ep,20,ep,peak,19740.703069777945,515.4844644814308,65.1064865769501,65.10648657695009
regular,regular_initial_20_ep,20,ep,bird,29737.426759726706,265.0036916528203,72.68881857595919,72.68881857595922
regular,regular_initial_50_ep,50,ep,z,24328.015539624816,-91.20120243732623,-5.55286574220426,-5.55286574220426
regular,regular_initial_50_ep,50,ep,plane,24328.015539624816,-91.20120243732623,-5.55286574220426,-5.55286574220426
regular,regular_initial_50_ep,50,ep,peak,3473.544471309691,655.2168049127508,214.47012142741943,214.47012142741931
regular,regular_initial_50_ep,50,ep,bird,9188.244301103436,156.65471250793357,84.5496826907003,84.54968269070014
