iteration,z_variable,pi_source,ABC_z_over_random_start,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_random_start,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random
50,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,1788,1788
50,z_00,size_80,1.000258019102218,0.09382395440140144,0.10999867781432025,1.0001030875018933,0.09380942185567165,0.11000441993792953,1549,1549
50,z_00,size_90,1.0005779115540254,0.13191455526625803,0.07562274598466631,1.000164927094037,0.13186010807055026,0.0756033449807552,1547,1547
50,z_80,equal,1.0000000000000002,0.13103138185639618,0.1564448703090641,1.0000000000000002,0.13103138185639618,0.1564448703090641,1785,1785
50,z_80,size_80,1.0001261942519497,0.17156664443720515,0.10743985821182393,1.0000788133197689,0.17155851647536266,0.10743706732831844,1531,1531
50,z_80,size_90,1.000128872347665,0.18687254414711535,0.0777755859162515,1.000026977987211,0.1868535053423186,0.07777729626141451,1550,1550
50,z_90,equal,1.0000000000000002,0.12910932894432708,0.16189741648793213,1.0000000000000002,0.12910932894432708,0.16189741648793216,1787,1787
50,z_90,size_80,1.0001843895791258,0.2779315250054556,0.12334723081653112,1.0001004446421102,0.27790819836228425,0.12334581751322592,1565,1565
50,z_90,size_90,1.0001843302790774,0.32058752797499,0.09014727671988543,1.0000342970754859,0.32053943806556284,0.09015855482587597,1568,1568
100,z_00,equal,1.0,0.09829969477787569,0.15606119091817433,1.0,0.09829969477787569,0.15606119091817433,3562,3562
100,z_00,size_80,1.0004527686783817,0.09384222186340099,0.10999166719318375,1.0001042166293046,0.09380952776754312,0.11000500914408415,3072,3072
100,z_00,size_90,1.0011123207296355,0.1319850108978653,0.07562681352354846,1.0001713339208556,0.1318609527361187,0.07558867265737906,3077,3077
100,z_80,equal,1.0000000000000002,0.13103138185639618,0.1564448703090641,1.0000000000000002,0.13103138185639618,0.1564448703090641,3554,3554
100,z_80,size_80,1.000365928144796,0.17160776958700116,0.10744811463445382,1.0001444247395455,0.17156977178613497,0.1074361632299674,3054,3054
100,z_80,size_90,1.0004734626385765,0.18693693031386993,0.07777475961810748,1.0000402635853056,0.18685598773592313,0.07778054347550714,3071,3071
100,z_90,equal,1.0000000000000002,0.12910932894432708,0.16189741648793213,1.0000000000000002,0.12910932894432708,0.16189741648793216,3556,3556
100,z_90,size_80,1.0004629695047442,0.27800893687507655,0.12334187853053372,1.0001265410733242,0.2779154500460738,0.1233546553055907,3091,3091
