iteration,z_variable,pi_source,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,BestRandomStart_z_over_BestRandomStart_z,BestRandomStart_y_over_BestRandomStart_y,BestRandomStart_z_over_Vincent_z,BestRandomStart_y_over_Vincent_y,ABC_z_over_BestRandomStart_z,ABC_y_over_BestRandomStart_y,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_BestRandomStart_z,Random_y_over_BestRandomStart_y,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random,Var_z_BestRandomStart,Var_y_BestRandomStart,Var_z_Vincent_z,Var_y_Vincent_y,Var_z_ABC,Var_y_ABC,Var_z_Random,Var_y_Random
50,z_00,equal,-1.376981811053447e-17,0.0,6.722437906588872e-18,1.0,1.0,0.1423209327503851,0.16960942700252357,2.6471283770879857,0.8793193816691215,0.37674177973717526,0.14914085647711303,1.1401067458072343,0.9519779948659297,0.16226105549829178,0.16146444222822168,1667,1667,326.3895583526345,74668.66390311507,46.452066384733186,12664.509299651363,123.29948225317442,84916.43134418262,286.2798238436346,78435.28348954211
50,z_00,size_80,-1.376981811053447e-17,0.7964686621946876,-0.019581006445603694,1.0,1.0,0.11385207020282773,0.10878628734162457,2.6011316563664986,1.3804557341568804,0.29614422394743617,0.15017465415838369,1.0805095988351077,0.9939776495798209,0.1230182547014039,0.10813113819834301,1645,1645,393.75950748929824,213908.74823187475,44.83033508970245,23270.338550039953,151.380075870261,154955.16657223384,364.42018461826575,215204.78687050892
50,z_00,size_90,-1.376981811053447e-17,0.8714416182858846,0.0422758631115996,1.0,1.0,0.16487566504923296,0.07785465503952657,2.1956374547468123,0.9611569225235648,0.3620071855583858,0.0748305406419251,1.1152360566896602,1.0321114797429685,0.18387528653359178,0.08035468321772413,1644,1644,393.4030605089669,166422.2684370627,64.86259123381956,12956.748300063007,179.1748722715845,173147.86434676335,352.7531755713672,161244.46990794793
50,z_80,equal,0.8000000000000002,0.0,0.8000000000000003,1.0,1.0,0.17967172702245643,0.20041499164692184,2.0339142126810446,1.2232008290747602,0.36543687920792306,0.24514778394152592,1.0695362006824891,0.9554156176039699,0.19216541628965936,0.1914796130214383,1649,1649,332.87136045821677,63191.42692659876,59.80757220984243,12664.509299651363,163.6604721983017,51660.71296272527,311.229634158999,66140.2490835065
50,z_80,size_80,0.8000000000000002,0.7964686621946876,-0.3338028997675349,1.0,1.0,0.24176842810204882,0.10542763051258153,2.000012302745308,1.1042841161096777,0.4835398306194921,0.11642205777412377,1.0425232651953182,1.0957900101551674,0.25204921108608747,0.11552654431001694,1648,1648,373.6780412182606,220723.3382454035,90.34355264159149,23270.338550039953,186.8378712997581,199879.12080361863,358.43616511354446,201428.50016870326
50,z_80,size_90,0.8000000000000002,0.8714416182858846,-0.5117759861486383,1.0,1.0,0.25044956404464597,0.08025976999260122,1.7047321723090687,1.2046180658051389,0.42694942936768854,0.09668236889045259,1.0,1.0,0.25044956404464597,0.08025976999260122,1628,1628,414.6417228322264,161435.15364244665,103.84683871805203,12956.748300063007,243.229833734288,134013.55850872712,414.6417228322264,161435.15364244665
50,z_90,equal,0.9000000000000001,0.0,0.9000000000000001,1.0,1.0,0.1796132532438697,0.24137664783827598,1.9669778209019386,1.253458700648397,0.3532952854707349,0.30255565936623113,1.0,1.0,0.1796132532438697,0.24137664783827598,1658,1658,330.40054561543735,52467.831553186006,59.34431687153827,12664.509299651363,167.97370163733487,41858.444579023715,330.40054561543735,52467.831553186006
50,z_90,size_80,0.9000000000000001,0.7964686621946876,-0.29463027700024136,1.0,1.0,0.36078607583186517,0.10826630997777406,1.7175670818040136,1.1100645551022912,0.6196742874220582,0.12018259321804452,1.0,1.0,0.36078607583186517,0.10826630997777406,1652,1652,431.79575539072573,214936.10112709217,155.78589614827587,23270.338550039953,251.39964544336593,193624.86635498964,431.79575539072573,214936.10112709217
50,z_90,size_90,0.9000000000000001,0.8714416182858846,-0.5420575768862299,1.0,1.0,0.39225916839352604,0.08489706069157466,1.851778821776869,1.1466272201088727,0.7263772206789381,0.0973452806961945,1.0289095317957666,1.1170984620266533,0.40359919729437965,0.09483837592914149,1636,1636,437.12051619460385,152617.16005850906,171.46453017024413,12956.748300063007,236.05438784269396,133100.9393305856,424.83863030376716,136619.2553713029
100,z_00,equal,-1.376981811053447e-17,0.0,6.722437906588872e-18,1.0,1.0,0.1423209327503851,0.16960942700252357,3.585889923300179,0.9181715572418095,0.5103471986242883,0.1557305517137981,1.1401067458072343,0.9519779948659297,0.16226105549829178,0.16146444222822168,3334,3334,326.3895583526345,74668.66390311507,46.452066384733186,12664.509299651363,91.02051801195572,81323.21603102147,286.2798238436346,78435.28348954211
100,z_00,size_80,-1.376981811053447e-17,0.7964686621946876,-0.019581006445603694,1.0,1.0,0.11385207020282773,0.10878628734162457,4.115640955622419,1.3642153841165077,0.4685742430091567,0.1484079267723631,1.0805095988351077,0.9939776495798209,0.1230182547014039,0.10813113819834301,3299,3299,393.75950748929824,213908.74823187475,44.83033508970245,23270.338550039953,95.67392096032559,156799.83580481773,364.42018461826575,215204.78687050892
