z_case,pi_case,iteration,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Start_z_over_V,Start_y_over_Vy,Selected_start_z_over_V,Selected_start_y_over_Vy,ABC_z_over_V,ABC_y_over_Vy,Random_z_over_V,Random_y_over_Vy,ABC_evaluations,Random_evaluations
z00,pi_equal,1,2.353093266950529e-16,0.0,1.7160738818435687e-16,1.000000000008644,0.09786575461043753,0.5605320713645623,0.10227273954162606,0.6191147321464356,0.11102441270979198,0.5605320713645623,0.10227273954162606,525,16
z00,pi_equal,200,2.353093266950529e-16,0.0,1.7160738818435687e-16,1.000000000008644,0.09786575461043753,0.5605320713645623,0.10227273954162606,1.0144603212569385,0.09970234973740455,0.6367775494211502,0.10379400822981488,3562,3053
z00,pi_equal,400,2.353093266950529e-16,0.0,1.7160738818435687e-16,1.000000000008644,0.09786575461043753,0.5605320713645623,0.10227273954162606,1.023159855633385,0.09940488366547984,0.6367775494211502,0.10379400822981488,6627,6118
z00,pi_equal,600,2.353093266950529e-16,0.0,1.7160738818435687e-16,1.000000000008644,0.09786575461043753,0.5605320713645623,0.10227273954162606,1.0252571689021794,0.09917015077321922,0.6447798596217759,0.10233727412915662,9687,9178
z00,pi_equal,800,2.353093266950529e-16,0.0,1.7160738818435687e-16,1.000000000008644,0.09786575461043753,0.5605320713645623,0.10227273954162606,1.0274278178456093,0.09944899818756449,0.6447798596217759,0.10233727412915662,12755,12246
z00,pi_equal,1000,2.353093266950529e-16,0.0,1.7160738818435687e-16,1.000000000008644,0.09786575461043753,0.5605320713645623,0.10227273954162606,1.0305728658260154,0.09964777469197729,0.6447798596217759,0.10233727412915662,15818,15309
z00,pi80,1,-0.012833522372408583,0.7959034231937886,-0.5922073374675507,1.0018444163868978,0.21210273250211995,0.28208671260499074,0.19447689342511204,0.28453128858900023,0.19612045962213376,0.28208671260499074,0.19447689342511204,525,16
z00,pi80,200,-0.012833522372408583,0.7959034231937886,-0.5922073374675507,1.0018444163868978,0.21210273250211995,0.28208671260499074,0.19447689342511204,2.3593659194475003,0.2029168346180096,0.32847323483576224,0.20113479139550886,3583,3074
z00,pi80,400,-0.012833522372408583,0.7959034231937886,-0.5922073374675507,1.0018444163868978,0.21210273250211995,0.28208671260499074,0.19447689342511204,83.65623563473679,0.2219951827456642,0.32847323483576224,0.20113479139550886,6664,6155
z00,pi80,600,-0.012833522372408583,0.7959034231937886,-0.5922073374675507,1.0018444163868978,0.21210273250211995,0.28208671260499074,0.19447689342511204,135.83119642221124,0.22481525600241056,0.32847323483576224,0.20113479139550886,9739,9230
z00,pi80,800,-0.012833522372408583,0.7959034231937886,-0.5922073374675507,1.0018444163868978,0.21210273250211995,0.28208671260499074,0.19447689342511204,135.83119642221124,0.22481525600241056,0.32847323483576224,0.20113479139550886,12811,12302
z00,pi80,1000,-0.012833522372408583,0.7959034231937886,-0.5922073374675507,1.0018444163868978,0.21210273250211995,0.28208671260499074,0.19447689342511204,178.74451609115934,0.22299598734331524,0.33573091359022694,0.18719168742726033,15884,15375
z00,pi90,1,-0.0038915480538542985,0.8987507148839624,-0.7608201605909881,0.9985418916111867,0.3207197499692868,0.2172337673268096,0.20721486810138084,0.2172337673268096,0.20721486810138084,0.2172337673268096,0.20721486810138084,525,16
z00,pi90,200,-0.0038915480538542985,0.8987507148839624,-0.7608201605909881,0.9985418916111867,0.3207197499692868,0.2172337673268096,0.20721486810138084,3.272940858440435,0.23972005875572083,0.2491406143028418,0.15679765163234166,3585,3076
z00,pi90,400,-0.0038915480538542985,0.8987507148839624,-0.7608201605909881,0.9985418916111867,0.3207197499692868,0.2172337673268096,0.20721486810138084,3.837496312486127,0.236937046726048,0.28094107998780915,0.2080917796739578,6654,6145
z00,pi90,600,-0.0038915480538542985,0.8987507148839624,-0.7608201605909881,0.9985418916111867,0.3207197499692868,0.2172337673268096,0.20721486810138084,3.837496312486127,0.236937046726048,0.28094107998780915,0.2080917796739578,9729,9220
z00,pi90,800,-0.0038915480538542985,0.8987507148839624,-0.7608201605909881,0.9985418916111867,0.3207197499692868,0.2172337673268096,0.20721486810138084,47.19942589942523,0.23684031349836948,0.28094107998780915,0.2080917796739578,12803,12294
z00,pi90,1000,-0.0038915480538542985,0.8987507148839624,-0.7608201605909881,0.9985418916111867,0.3207197499692868,0.2172337673268096,0.20721486810138084,47.19942589942523,0.23684031349836948,0.28094107998780915,0.2080917796739578,15878,15369
z80,pi_equal,1,0.8000000000000002,0.0,0.7999999999999999,1.0000000000521465,0.293941973499975,0.17865575596572167,0.17672129113594676,0.1889946655082105,0.18618009138992597,0.17865575596572167,0.17672129113594676,525,16
z80,pi_equal,200,0.8000000000000002,0.0,0.7999999999999999,1.0000000000521465,0.293941973499975,0.17865575596572167,0.17672129113594676,1.0867977282472217,0.31430109145562835,0.21060203180371118,0.1818956086231423,3565,3056
z80,pi_equal,400,0.8000000000000002,0.0,0.7999999999999999,1.0000000000521465,0.293941973499975,0.17865575596572167,0.17672129113594676,1.0944089226317213,0.3109056653368457,0.21686195195178176,0.16400400007621474,6624,6115
z80,pi_equal,600,0.8000000000000002,0.0,0.7999999999999999,1.0000000000521465,0.293941973499975,0.17865575596572167,0.17672129113594676,1.0944089226317213,0.3109056653368457,0.24630489154314467,0.20935594108996033,9683,9174
z80,pi_equal,800,0.8000000000000002,0.0,0.7999999999999999,1.0000000000521465,0.293941973499975,0.17865575596572167,0.17672129113594676,1.0944089226317213,0.3109056653368457,0.24630489154314467,0.20935594108996033,12742,12233
z80,pi_equal,1000,0.8000000000000002,0.0,0.7999999999999999,1.0000000000521465,0.293941973499975,0.17865575596572167,0.17672129113594676,1.122301575034244,0.31071153782061645,0.24630489154314467,0.20935594108996033,15806,15297
z80,pi80,1,0.7999976754238507,0.7940494633315218,0.5863866203420894,0.9999926922909889,0.15651291419633348,0.25110210388643067,0.11936526976960417,0.3069811370326424,0.1250323097904367,0.25110210388643067,0.11936526976960417,525,16
z80,pi80,200,0.7999976754238507,0.7940494633315218,0.5863866203420894,0.9999926922909889,0.15651291419633348,0.25110210388643067,0.11936526976960417,0.9903754447772581,0.16015406000956378,0.2547254558650706,0.13236379357118974,3545,3036
z80,pi80,400,0.7999976754238507,0.7940494633315218,0.5863866203420894,0.9999926922909889,0.15651291419633348,0.25110210388643067,0.11936526976960417,0.9997784135557116,0.1581827233552072,0.2547254558650706,0.13236379357118974,6592,6083
z80,pi80,600,0.7999976754238507,0.7940494633315218,0.5863866203420894,0.9999926922909889,0.15651291419633348,0.25110210388643067,0.11936526976960417,1.0013448452673852,0.15900901150193006,0.32911255190421623,0.13804059289878004,9639,9130
z80,pi80,800,0.7999976754238507,0.7940494633315218,0.5863866203420894,0.9999926922909889,0.15651291419633348,0.25110210388643067,0.11936526976960417,1.0032956345624109,0.15916411557775115,0.32911255190421623,0.13804059289878004,12684,12175
z80,pi80,1000,0.7999976754238507,0.7940494633315218,0.5863866203420894,0.9999926922909889,0.15651291419633348,0.25110210388643067,0.11936526976960417,1.0038801234561792,0.16067945983926607,0.32911255190421623,0.13804059289878004,15724,15215
z80,pi90,1,0.8001025232792104,0.8982486828632527,0.6612040452855389,1.0000005959810097,0.18493931749267592,0.25318102491479194,0.15169143871903618,0.3126980049782467,0.14635387457774574,0.25318102491479194,0.15169143871903618,525,16
z80,pi90,200,0.8001025232792104,0.8982486828632527,0.6612040452855389,1.0000005959810097,0.18493931749267592,0.25318102491479194,0.15169143871903618,0.9903956535960076,0.18526640409251982,0.25937617341458846,0.1612154314784338,3546,3037
z80,pi90,400,0.8001025232792104,0.8982486828632527,0.6612040452855389,1.0000005959810097,0.18493931749267592,0.25318102491479194,0.15169143871903618,0.9987129544342305,0.19214959239346033,0.28600874996497694,0.16666111786717455,6593,6084
z80,pi90,600,0.8001025232792104,0.8982486828632527,0.6612040452855389,1.0000005959810097,0.18493931749267592,0.25318102491479194,0.15169143871903618,0.999701916750983,0.1840137424046857,0.28600874996497694,0.16666111786717455,9642,9133
z80,pi90,800,0.8001025232792104,0.8982486828632527,0.6612040452855389,1.0000005959810097,0.18493931749267592,0.25318102491479194,0.15169143871903618,0.999701916750983,0.1840137424046857,0.28600874996497694,0.16666111786717455,12689,12180
z80,pi90,1000,0.8001025232792104,0.8982486828632527,0.6612040452855389,1.0000005959810097,0.18493931749267592,0.25318102491479194,0.15169143871903618,1.0002408486453338,0.1923009758009604,0.29018140413068305,0.1726007363450876,15734,15225
z90,pi_equal,1,0.9000000000000004,0.0,0.9,1.000000000407911,0.4860337839203935,0.267155344186061,0.2930770227170319,0.2885686849853789,0.2779831192230952,0.267155344186061,0.2930770227170319,525,16
