z_case,pi_case,iteration,target_corr_y_pi,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,vincent_condition_ok,Vincent_start_matches_Ppi,Start_z_over_V,Start_y_over_Vy,Selected_start_z_over_V,Selected_start_y_over_Vy,ABC_z_over_V,ABC_y_over_Vy,Random_z_over_V,Random_y_over_Vy,ABC_var_z,ABC_var_y,Random_var_z,Random_var_y,Vincent_var_z,Vincent_var_y,ABC_evaluations,Random_evaluations,ABC_K_eig_min,ABC_K_eig_max,ABC_K_eig_sum,ABC_K_hermitian_error,ABC_K_idempotency_error,ABC_K_max_diag_error,ABC_K_has_complex_entries,ABC_K_max_imag_abs,Random_K_eig_min,Random_K_eig_max,Random_K_eig_sum,Random_K_hermitian_error,Random_K_idempotency_error,Random_K_max_diag_error,Random_K_has_complex_entries,Random_K_max_imag_abs,Vincent_K_eig_min,Vincent_K_eig_max,Vincent_K_eig_sum,Vincent_K_hermitian_error,Vincent_K_idempotency_error,Vincent_K_max_diag_error,Vincent_K_has_complex_entries,Vincent_K_max_imag_abs
z00,pi_m90,2000,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,249.73967603379523,0.7203416921722794,0.3637146494699341,0.5511363136542028,0.0003100328908526663,7542.130091312962,0.21287983267708963,9857.653393473534,0.07742751372136587,5432.9107525598465,31242,30733,-2.7265803160159574e-07,1.0009959976691691,4.0009566,0.0,0.0009979729223002173,0.0001904007023519061,True,0.1918338,-2.6390846822998886e-07,1.0008120434644,4.000811400000001,0.0,0.0008127037288797486,0.00014820070235191385,True,0.1878716,-2.329342804726037e-16,1.0000000000000007,4.000000000000002,0.0,3.6569223275542574e-16,6.42872843847897e-09,False,0.0
z00,pi_m80,2000,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,2605.3520835835097,0.679584296606312,0.31770394763670645,0.48770498685424396,3.039306549417451e-05,7620.890062561863,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,31212,30703,-3.014627498244469e-07,1.000975185950177,4.000998199999999,0.0,0.0009763043153297019,0.00018452113433375938,True,0.196572,-2.5240240711256094e-07,1.0009851945626949,4.000998600000001,0.0,0.000986254166141127,0.00015795970027493444,True,0.1749447,-1.341475624155777e-16,1.0000000000000004,4.0,0.0,3.266444557450401e-16,3.9894839376497515e-09,False,0.0
z00,pi_m60,2000,-0.6,-3.629355876152825e-05,-0.5998726280055918,0.9872850419572325,True,True,0.9999998286946202,0.9913810760916502,0.3949195543687448,0.5316973045358004,1.0000226722875514,0.9919243802860793,0.5116709170311421,0.6981622657921746,25.40765935741737,235254.17558147418,49.65737657047624,334240.8545362863,25.408235407176328,233354.35232336627,30997,30488,-2.622127228292973e-07,1.0009990900205248,4.0010045,0.0,0.0010001066293942977,0.0001448945758953657,True,0.305727,-2.487326895806192e-07,1.0000011402176896,3.999953699999999,0.0,4.714824668556614e-05,6.806944154141847e-06,True,0.2461815,-2.2575013183048714e-16,1.0000000000000004,4.0,0.0,4.832375104212978e-16,5.9695911547308356e-09,False,0.0
z00,pi_m40,2000,-0.4,-0.009242358764493593,-0.3979942353179924,0.6955329618155285,True,True,0.9988815241772572,0.46125403388324393,0.2678120448102628,0.39468970181016416,105.23595968859804,0.45535819005894157,0.31986018866082866,0.3934092262176312,0.0006568324324194852,9159.710786047988,0.216101890234162,10602.06280645497,0.06912239138026074,4170.949324998177,31236,30727,-2.9495774436300117e-07,1.0008944351870719,4.0009659,0.0,0.0008982897928558739,0.00015706364727097188,True,0.1904402,-3.070952763385288e-07,1.0005232863284694,4.000521100000001,0.0,0.0005235750770167324,9.104648229113499e-05,True,0.1972376,-4.4015641608010637e-16,1.0000000000000004,3.9999999999999996,0.0,3.0625435563717725e-16,5.542490827403768e-09,False,0.0
z00,pi_m20,2000,-0.2,0.0012082882757706397,-0.20486492629728753,0.585616934490118,True,True,1.0002698603694742,0.33149587129180896,0.22689644778323814,0.3309509816127238,427.79047226230995,0.3392300867324569,0.34694463757677124,0.33267268485504076,0.00015235574267340055,10589.140890466579,0.1878580270482114,10797.866329964645,0.06517633511012899,3592.1551826951836,31273,30764,-2.5493566896345253e-07,1.0004870878130756,4.0009537,0.0,0.0006739997810887736,9.378548852659319e-05,True,0.2125453,-3.051991598478847e-07,1.0009313976587357,4.0009794,0.0,0.0009336215017948981,0.00016221174511329983,True,0.1897649,-1.821573440721495e-16,1.0000000000000004,4.0,0.0,3.533826162293999e-16,6.369023475283342e-09,False,0.0
z00,pi_equal,2000,0.0,1.628625087235428e-17,0.0,1.8219459344737375e-16,True,True,1.0000000000140852,0.2490529692749551,0.3376210268004843,0.26057893200451065,1.036460418708487,0.2594528955737014,0.49210830649818843,0.2746630254524467,4931.087680240807,9208.49763788488,10385.675539840664,8698.554791265367,5110.877201750648,2389.1713760328216,31132,30623,-2.7142186345672447e-07,1.0009784288421997,4.000928200000001,0.0,0.0009808094193236713,0.00018379999999998398,True,0.1999178,-2.452280990071801e-07,1.0000432041734557,4.0000294,0.0,4.566871937212851e-05,5.899999999975369e-06,True,0.1905352,-1.7500589195172985e-16,1.0,3.999999999999999,0.0,3.1155556357914184e-16,1.788703768434985e-09,False,0.0
z00,pi_p20,2000,0.2,0.00013054586430356015,0.2000073481040523,0.9407082586717507,True,True,1.0000029352846844,0.9718597612280084,0.36907659159175427,0.7297064626685683,0.999969482905991,0.9710642027567462,0.4808378971918832,0.8323942801680548,12.348173538466636,2731862.136724896,25.679749412859632,3186967.511723551,12.347796708093922,2652813.527840102,30946,30437,-3.1153208856443707e-07,1.000524310980585,4.0005239,0.0,0.0005245863055464846,0.00011121575810277284,True,0.4324706,-3.0295920592544076e-07,1.000000345727039,3.9999963000000003,0.0,2.9710017976352333e-06,8.486437628463239e-07,True,0.3310349,-2.220446049250313e-16,1.0000000000000004,4.0,0.0,3.7961530539192424e-16,4.0568954862152395e-09,False,0.0
z00,pi_p40,2000,0.4,0.009157491170949751,0.3985912882700116,0.17810664594137002,True,True,0.9996573578257744,0.14315180105491068,0.22464995780160288,0.14960483686669304,3063.967133762039,0.1569821670442857,0.3272061868315181,0.160203414466412,2.362479242381938e-05,7299.568833239864,0.22122316276924525,7152.794700085309,0.072385587528533,1145.902133930922,31279,30770,-2.9048030477614067e-07,1.0009662706322895,4.000978800000001,0.0,0.0009673085427177802,0.0001631070026270054,True,0.1848579,-3.1003306011760424e-07,1.0006352098353337,4.000645800000001,0.0,0.0006357027076667854,0.0001133111105738327,True,0.1564027,-2.0136187090569864e-16,1.0000000000000002,3.999999999999999,0.0,4.829315566872853e-16,7.01957905691053e-09,False,0.0
z00,pi_p60,2000,0.6,-0.011488301498159739,0.6069079018027045,-0.06628389764495621,True,True,1.0008097608205968,0.13203841084905354,0.2516469896010926,0.1253180377280692,769.1676063011341,0.13496399359441064,0.3690329338940162,0.12038894359436102,8.353642962534388e-05,5210.016557540808,0.17411322869172993,5840.774246412168,0.0642535156138689,703.164641298711,31229,30720,-2.908195028846685e-07,1.0008774968571863,4.000896700000001,0.0,0.0008785708231852959,0.0001632362158453804,True,0.1954761,-2.5226659737757003e-07,1.000507468049122,4.000509900000001,0.0,0.0005077328063602354,9.12362158453639e-05,True,0.1901376,-1.9326438674213673e-16,1.0000000000000002,4.0,0.0,4.113428955555437e-16,6.190385870574744e-09,False,0.0
z00,pi_p80,2000,0.8,-0.016114154807579092,0.8069160787733599,-0.28207350939182513,True,True,1.000689489475906,0.12911808310149392,0.24049874188113513,0.1350405726264955,12.469974739200675,0.1519977703328577,0.301923244707775,0.15383764536963626,0.006220156200616011,3089.6798283463495,0.25690367355000365,3052.727723585815,0.0775651906955641,469.6244449510516,31237,30728,-2.7541916523242627e-07,1.000848446053494,4.001031299999999,0.0,0.000868729525139272,0.00013751048789553688,True,0.2118303,-2.6416723019103565e-07,1.0007946340764515,4.001002999999999,0.0,0.000822466037572592,0.00015199276471397627,True,0.1783095,-3.8885783991740796e-16,1.0000000000000002,3.9999999999999982,0.0,3.759772870053038e-16,8.510881832624051e-09,False,0.0
