population,auxiliary,corr_y_aux,Ppi_z_eff,Ppi_y_eff,ABC_z_eff,ABC_y_eff,Random_z_eff,Random_y_eff,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y,Random_z_over_Ppi_z,Random_y_over_Ppi_y,ABC_valid_percent,Random_valid_percent,evaluations_ABC,evaluations_Random
1,aux_90,0.9098760751204659,0.26936804667817915,0.06393604680118094,0.2693697729551379,0.06393634696174227,0.2693697729551379,0.06393634696174227,1.0000064086181715,1.0000046947000378,1.0000064086181715,1.0000046947000378,98.33333333333333,100.0,60,37
1,aux_80,0.8144805380879533,0.21463934466779988,0.05225180574093332,0.21463807736327004,0.052251474711056324,0.21463807736327004,0.052251474711056324,0.9999940956559861,0.9999936647189068,0.9999940956559861,0.9999936647189068,100.0,100.0,84,37
1,aux_00,0.12710409163659955,0.4773037465549581,0.024895148928168475,0.4773035049427729,0.024895135041818214,0.4773035049427729,0.024895135041818214,0.9999994937978448,0.9999994422065801,0.9999994937978448,0.9999994422065801,100.0,97.29729729729729,84,37
2,aux_90,0.9040983273561295,0.2127842544685799,0.046060772999146946,0.21278593917171557,0.04606119888562149,0.21278593917171557,0.04606119888562149,1.0000079174238707,1.000009246186002,1.0000079174238707,1.000009246186002,100.0,100.0,59,37
2,aux_80,0.7772569945553446,0.2136675752862926,0.025953145154904905,0.213666760484697,0.025953056011095998,0.213666760484697,0.025953056011095998,0.9999961865922121,0.9999965652020834,0.9999961865922121,0.9999965652020834,98.33333333333333,100.0,60,37
2,aux_00,0.04874292105378897,0.2504969834337787,0.02357211956418382,0.25049751401604164,0.023572282848033168,0.25049751401604164,0.023572282848033168,1.000002118118373,1.000006926990545,1.000002118118373,1.000006926990545,100.0,100.0,59,37
3,aux_90,0.902635880021159,0.26421488921935077,0.06126516646083106,0.2642179833669945,0.06126579422909641,0.2642179833669945,0.06126579422909641,1.0000117107239976,1.0000102467405478,1.0000117107239976,1.0000102467405478,98.30508474576271,97.29729729729729,59,37
3,aux_80,0.7988340952750267,0.3393001915046371,0.05985418044784694,0.3393004590552266,0.05985419468213172,0.3393004590552266,0.05985419468213172,1.0000007885365119,1.0000002378160502,1.0000007885365119,1.0000002378160502,100.0,100.0,59,37
3,aux_00,-0.04352180273676323,0.34390960678729743,0.019543751155639808,0.34391098167360223,0.019543808013113888,0.34391098167360223,0.019543808013113888,1.000003997813023,1.0000029092405867,1.000003997813023,1.0000029092405867,98.82352941176471,100.0,85,37
4,aux_90,0.9125115749306789,0.33528366315133246,0.090128403740129,0.33528216536840866,0.09012800641309832,0.33528216536840866,0.09012800641309832,0.999995532788834,0.999995591544794,0.999995532788834,0.999995591544794,100.0,100.0,59,37
4,aux_80,0.825481815247249,0.7771288605502847,0.13735683184074313,0.7771281607443455,0.1373563225567439,0.7771281607443455,0.1373563225567439,0.9999990994981981,0.9999962922557808,0.9999990994981981,0.9999962922557808,100.0,100.0,59,37
4,aux_00,0.055885144871981506,0.26902955063158696,0.04406232237749224,0.2690296460591388,0.044062293317659575,0.2690296460591388,0.044062293317659575,1.0000003547102971,0.9999993404834085,1.0000003547102971,0.9999993404834085,100.0,100.0,59,37
5,aux_90,0.8993421280354524,0.24646311519837394,0.06077781692134329,0.24646364463057138,0.06077790928799698,0.24646364463057138,0.06077790928799698,1.000002148119393,1.0000015197428662,1.000002148119393,1.0000015197428662,100.0,100.0,59,37
5,aux_80,0.8288816765140549,0.35905612591242864,0.07813321330126102,0.35905878683054926,0.07813390780910026,0.35905878683054926,0.07813390780910026,1.000007410869579,1.000008888765864,1.000007410869579,1.000008888765864,100.0,97.29729729729729,59,37
5,aux_00,0.18005030795256574,0.2432141802947852,0.025530419445822124,0.24321418888152263,0.025530419871524927,0.24321418888152263,0.025530419871524927,1.00000003530525,1.0000000166743364,1.00000003530525,1.0000000166743364,100.0,100.0,59,37
