z_case,pi_case,iteration,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Vincent_start_matches_Ppi,Start_z_over_V,Start_y_over_Vy,Selected_start_z_over_V,Selected_start_y_over_Vy,ABC_z_over_V,ABC_y_over_Vy,Random_z_over_V,Random_y_over_Vy,ABC_evaluations,Random_evaluations
z00,pi_equal,1,8.100187174690701e-17,0.0,2.459347781346955e-16,True,1.0000000000131635,0.1516467815655364,0.35012515579692494,0.16387642555904852,0.38974964211625046,0.15636039757119966,0.35012515579692494,0.16387642555904852,525,16
z00,pi_equal,200,8.100187174690701e-17,0.0,2.459347781346955e-16,True,1.0000000000131635,0.1516467815655364,0.35012515579692494,0.16387642555904852,1.034465248129021,0.15526094940462143,0.36138679637825766,0.15148114839332905,3557,3048
z00,pi_equal,400,8.100187174690701e-17,0.0,2.459347781346955e-16,True,1.0000000000131635,0.1516467815655364,0.35012515579692494,0.16387642555904852,1.042512566343978,0.15509313386905765,0.3824464135746041,0.16353863272045885,6620,6111
z00,pi_equal,600,8.100187174690701e-17,0.0,2.459347781346955e-16,True,1.0000000000131635,0.1516467815655364,0.35012515579692494,0.16387642555904852,1.042512566343978,0.15509313386905765,0.3996738719375928,0.16175820281514683,9680,9171
z00,pi_equal,800,8.100187174690701e-17,0.0,2.459347781346955e-16,True,1.0000000000131635,0.1516467815655364,0.35012515579692494,0.16387642555904852,1.042512566343978,0.15509313386905765,0.3996738719375928,0.16175820281514683,12743,12234
z00,pi_equal,1000,8.100187174690701e-17,0.0,2.459347781346955e-16,True,1.0000000000131635,0.1516467815655364,0.35012515579692494,0.16387642555904852,1.0498500402933677,0.15541626961345437,0.3996738719375928,0.16175820281514683,15805,15296
z00,pi80,1,0.009151151555202804,0.8079054566864583,-0.5170060785359529,True,0.9994927329280823,0.262126169028128,0.2149038577077338,0.24743424805387207,0.2386653651309581,0.22249592431664902,0.2149038577077338,0.24743424805387207,525,16
z00,pi80,200,0.009151151555202804,0.8079054566864583,-0.5170060785359529,True,0.9994927329280823,0.262126169028128,0.2149038577077338,0.24743424805387207,9.298371324116511,0.3124257637425491,0.3148768752538757,0.24010595962023676,3583,3074
z00,pi80,400,0.009151151555202804,0.8079054566864583,-0.5170060785359529,True,0.9994927329280823,0.262126169028128,0.2149038577077338,0.24743424805387207,9.298371324116511,0.3124257637425491,0.3148768752538757,0.24010595962023676,6657,6148
z00,pi80,600,0.009151151555202804,0.8079054566864583,-0.5170060785359529,True,0.9994927329280823,0.262126169028128,0.2149038577077338,0.24743424805387207,9.298371324116511,0.3124257637425491,0.3148768752538757,0.24010595962023676,9723,9214
z00,pi80,800,0.009151151555202804,0.8079054566864583,-0.5170060785359529,True,0.9994927329280823,0.262126169028128,0.2149038577077338,0.24743424805387207,118.4708263827142,0.31069714950096516,0.3148768752538757,0.24010595962023676,12792,12283
z00,pi80,1000,0.009151151555202804,0.8079054566864583,-0.5170060785359529,True,0.9994927329280823,0.262126169028128,0.2149038577077338,0.24743424805387207,118.4708263827142,0.31069714950096516,0.3148768752538757,0.24010595962023676,15860,15351
z00,pi90,1,0.0013877138880652846,0.9003581344560545,0.9230337210415178,True,1.0000244942891645,0.9544115822221657,0.2576512445304758,0.29807293868382456,0.292226563690932,0.30953717242653916,0.2576512445304758,0.29807293868382456,525,16
z00,pi90,200,0.0013877138880652846,0.9003581344560545,0.9230337210415178,True,1.0000244942891645,0.9544115822221657,0.2576512445304758,0.29807293868382456,0.9687125562596179,0.856646123464119,0.3163041298620901,0.35803534091012756,3548,3039
z00,pi90,400,0.0013877138880652846,0.9003581344560545,0.9230337210415178,True,1.0000244942891645,0.9544115822221657,0.2576512445304758,0.29807293868382456,1.0014803845936322,0.9611928973640215,0.3163041298620901,0.35803534091012756,6605,6096
z00,pi90,600,0.0013877138880652846,0.9003581344560545,0.9230337210415178,True,1.0000244942891645,0.9544115822221657,0.2576512445304758,0.29807293868382456,1.020023133487839,0.9536090329718557,0.3163041298620901,0.35803534091012756,9664,9155
z00,pi90,800,0.0013877138880652846,0.9003581344560545,0.9230337210415178,True,1.0000244942891645,0.9544115822221657,0.2576512445304758,0.29807293868382456,1.020023133487839,0.9536090329718557,0.3163041298620901,0.35803534091012756,12719,12210
z00,pi90,1000,0.0013877138880652846,0.9003581344560545,0.9230337210415178,True,1.0000244942891645,0.9544115822221657,0.2576512445304758,0.29807293868382456,1.020023133487839,0.9536090329718557,0.3436352155186134,0.39675451917089705,15776,15267
z80,pi_equal,1,0.8,0.0,0.8000000000000003,True,1.0000000000244498,0.3168321558398016,0.30952109030553043,0.2887129932578488,0.3485917308064877,0.2818214325461368,0.30952109030553043,0.2887129932578488,525,16
