iterations,z_variable,size_variable,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Start_z_over_Ppi_z,Start_y_over_Ppi_y_opt,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y_opt,Random_z_over_Ppi_z,Random_y_over_Ppi_y_opt,evaluations_ABC,evaluations_Random
50,z_00,size_00,-2.4830408006784865e-17,2.3835928402128973e-16,-3.475577650980294e-17,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,5157,1520
50,z_00,size_80,-2.4830408006784865e-17,0.7968202530366716,0.1031305278839988,1.000000943757315,0.588120162564785,1.4361387359787734,0.2324618828321621,1.1258041139009398,0.2610833836537116,6232,1520
50,z_00,size_90,-2.4830408006784865e-17,0.8655222606938383,0.0331667010062266,0.9999998005746604,0.5499500159264293,1.1577034501579693,0.115585435519207,1.104446303829998,0.1445435770063744,6707,1520
50,z_80,size_00,0.7999999999999999,2.3835928402128973e-16,0.8000000000000003,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,5032,1520
50,z_80,size_80,0.7999999999999999,0.7968202530366716,-0.5431588800339152,1.000000576512931,0.588120162564785,1.4714269352204994,0.3134396287670027,1.000000576512931,0.588120162564785,5107,1520
50,z_80,size_90,0.7999999999999999,0.8655222606938383,-0.5857763447512758,1.0000000520222911,0.5499500159264293,1.7508583431751956,0.1824111199753515,1.0000000520222911,0.5499500159264293,5007,1520
50,z_90,size_00,0.9,2.3835928402128973e-16,0.9000000000000004,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,1.00001888377001,0.4713713178015423,4707,1520
50,z_90,size_80,0.9,0.7968202530366716,-0.5170980066756964,1.000000980681483,0.588120162564785,1.3346342995138354,0.356692499404827,1.000000980681483,0.588120162564785,5307,1520
50,z_90,size_90,0.9,0.8655222606938383,-0.5881511960136881,0.9999998880827462,0.5499500159264293,1.3410661747261508,0.2042075856524848,0.9999998880827462,0.5499500159264293,4732,1520
100,z_00,size_00,-2.4830408006784865e-17,2.3835928402128973e-16,-3.475577650980294e-17,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,1.0000239158272322,0.1617627150294337,9920,3020
100,z_00,size_80,-2.4830408006784865e-17,0.7968202530366716,0.1031305278839988,1.000000943757315,0.588120162564785,1.5442385242225292,0.2603054149501818,1.1484594646207082,0.2366240253834073,12420,3020
100,z_00,size_90,-2.4830408006784865e-17,0.8655222606938383,0.0331667010062266,0.9999998005746604,0.5499500159264293,1.2028259415987628,0.1192048812101619,1.104446303829998,0.1445435770063744,13370,3020
100,z_80,size_00,0.7999999999999999,2.3835928402128973e-16,0.8000000000000003,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,1.0000180660652045,0.3597962115636762,9620,3020
