z_case,pi_case,iteration,target_corr_y_pi,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,vincent_condition_ok,Vincent_start_matches_Ppi,Start_z_over_V,Start_y_over_Vy,Selected_start_z_over_V,Selected_start_y_over_Vy,ABC_z_over_V,ABC_y_over_Vy,Random_z_over_V,Random_y_over_Vy,ABC_var_z,ABC_var_y,Random_var_z,Random_var_y,Vincent_var_z,Vincent_var_y,ABC_evaluations,Random_evaluations
z00,pi_m90,1,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,0.2371401718553307,0.4741798956973676,0.2371401718553307,0.4741798956973676,0.3265052610681296,11457.488606870953,0.3265052610681296,11457.488606870953,0.07742751372136587,5432.9107525598465,525,16
z00,pi_m90,200,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,16.19518987734479,0.7635702605713967,0.3223816937777601,0.505417057077266,0.004780895704697977,7115.141897347178,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,3575,3066
z00,pi_m90,400,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,26.422197333513296,0.7154069960217591,0.3223816937777601,0.505417057077266,0.0029303964671840003,7594.153793255056,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,6654,6145
z00,pi_m90,600,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,45.401484284136835,0.7191201818881333,0.3223816937777601,0.505417057077266,0.0017053960887445888,7554.941287136609,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,9731,9222
z00,pi_m90,800,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,45.401484284136835,0.7191201818881333,0.3223816937777601,0.505417057077266,0.0017053960887445888,7554.941287136609,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,12808,12299
z00,pi_m90,1000,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,45.401484284136835,0.7191201818881333,0.3223816937777601,0.505417057077266,0.0017053960887445888,7554.941287136609,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,15878,15369
z00,pi_m90,1200,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,146.03665489094197,0.7217570787336667,0.3223816937777601,0.505417057077266,0.0005301923258868646,7527.339755492205,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,18955,18446
z00,pi_m90,1400,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,146.03665489094197,0.7217570787336667,0.3223816937777601,0.505417057077266,0.0005301923258868646,7527.339755492205,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,22028,21519
z00,pi_m90,1600,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,249.73967603379523,0.7203416921722794,0.3223816937777601,0.505417057077266,0.0003100328908526663,7542.130091312962,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,25102,24593
z00,pi_m90,1800,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,249.73967603379523,0.7203416921722794,0.3223816937777601,0.505417057077266,0.0003100328908526663,7542.130091312962,0.24017341932182412,10749.36169344456,0.07742751372136587,5432.9107525598465,28169,27660
z00,pi_m90,2000,-0.9,-0.004661547473228781,-0.8962652003054492,0.8929844734003025,True,True,1.0006656857019198,0.7989994634673454,0.2371401718553307,0.4741798956973676,249.73967603379523,0.7203416921722794,0.3637146494699341,0.5511363136542028,0.0003100328908526663,7542.130091312962,0.21287983267708963,9857.653393473534,0.07742751372136587,5432.9107525598465,31242,30733
z00,pi_m80,1,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,0.24921437177953024,0.5185899889318879,0.22532885277135287,0.4623076446942145,0.3177370387843806,9986.766661938698,0.35141809643032434,11202.577487347678,0.07918463651173764,5179.037212680137,525,16
z00,pi_m80,200,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,3.5130015377282624,0.6666962658466458,0.281836958250687,0.55994013701006,0.02254045028484207,7768.2109200105,0.2809590232708404,9249.269467152146,0.07918463651173764,5179.037212680137,3577,3068
z00,pi_m80,400,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,847.0147520872764,0.6764301596871957,0.31770394763670645,0.48770498685424396,9.348672654945502e-05,7656.425631694335,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,6653,6144
z00,pi_m80,600,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,847.0147520872764,0.6764301596871957,0.31770394763670645,0.48770498685424396,9.348672654945502e-05,7656.425631694335,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,9726,9217
z00,pi_m80,800,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,847.0147520872764,0.6764301596871957,0.31770394763670645,0.48770498685424396,9.348672654945502e-05,7656.425631694335,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,12801,12292
z00,pi_m80,1000,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,847.0147520872764,0.6764301596871957,0.31770394763670645,0.48770498685424396,9.348672654945502e-05,7656.425631694335,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,15873,15364
z00,pi_m80,1200,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,847.0147520872764,0.6764301596871957,0.31770394763670645,0.48770498685424396,9.348672654945502e-05,7656.425631694335,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,18943,18434
z00,pi_m80,1400,-0.8,0.0110934800904353,-0.7955005077144863,0.8405748573063694,True,True,1.0000172724873326,0.6986005345275642,0.22532885277135287,0.4623076446942145,847.0147520872764,0.6764301596871957,0.31770394763670645,0.48770498685424396,9.348672654945502e-05,7656.425631694335,0.24924032924603456,10619.200853543762,0.07918463651173764,5179.037212680137,22008,21499
