iteration,z_variable,pi_source,corr_y_z,corr_y_pi,corr_y_over_pi_z_over_pi,Start_z_over_Vincent_z,Start_y_over_Vincent_y,ABC_z_over_Vincent_z,ABC_y_over_Vincent_y,Random_z_over_Vincent_z,Random_y_over_Vincent_y,evaluations_ABC,evaluations_Random
50,z_00,equal,-1.376981811053447e-17,0.0,6.722437906588872e-18,1.0,0.14748629296613286,1.000000000000002,0.14748629296613336,1.000000000000001,0.14748629296613322,1750,1750
50,z_00,size_80,-1.376981811053447e-17,0.7964686621946876,-0.019581006445603694,1.0,0.14812033674965344,1.000000000000001,0.14812033674965364,1.0000000000000004,0.14812033674965355,1763,1763
50,z_00,size_90,-1.376981811053447e-17,0.8714416182858846,0.0422758631115996,1.0,0.08662042629674561,1.0,0.08662042629674561,1.0000000000000004,0.08662042629674566,1748,1748
50,z_80,equal,0.8000000000000002,0.0,0.8000000000000003,1.0,0.3544048071272349,1.0000000000000016,0.3544048071272384,1.0000000000000007,0.3544048071272371,1756,1756
50,z_80,size_80,0.8000000000000002,0.7964686621946876,-0.3338028997675349,1.0,0.12689401012515264,1.0000000000000002,0.1268940101251527,1.0000000000000002,0.1268940101251527,1749,1749
50,z_80,size_90,0.8000000000000002,0.8714416182858846,-0.5117759861486383,1.0,0.1014259500876925,1.0000000000000002,0.10142595008769249,1.0000000000000002,0.10142595008769255,1763,1763
50,z_90,equal,0.9000000000000001,0.0,0.9000000000000001,1.0,0.5306036730589279,1.0000000000000016,0.5306036730589413,1.0000000000000007,0.5306036730589289,1760,1760
50,z_90,size_80,0.9000000000000001,0.7964686621946876,-0.29463027700024136,1.0,0.12282751397679012,1.0000000000000004,0.12282751397679012,1.0000000000000004,0.12282751397679013,1765,1765
50,z_90,size_90,0.9000000000000001,0.8714416182858846,-0.5420575768862299,1.0,0.11834137018091379,1.0000000314119193,0.1183416373237221,1.0000000000000002,0.1183413701809139,1750,1750
100,z_00,equal,-1.376981811053447e-17,0.0,6.722437906588872e-18,1.0,0.14748629296613286,1.0000000000000024,0.14748629296613344,1.000000000000001,0.14748629296613322,3505,3505
100,z_00,size_80,-1.376981811053447e-17,0.7964686621946876,-0.019581006445603694,1.0,0.14812033674965344,1.000000000000001,0.14812033674965364,1.0000000000000007,0.14812033674965353,3501,3501
100,z_00,size_90,-1.376981811053447e-17,0.8714416182858846,0.0422758631115996,1.0,0.08662042629674561,1.0000000000000004,0.0866204262967457,1.0000000000000004,0.08662042629674566,3494,3494
100,z_80,equal,0.8000000000000002,0.0,0.8000000000000003,1.0,0.3544048071272349,1.0000000000000018,0.3544048071272387,1.0000000000000007,0.3544048071272371,3504,3504
100,z_80,size_80,0.8000000000000002,0.7964686621946876,-0.3338028997675349,1.0,0.12689401012515264,1.0000000000000004,0.1268940101251527,1.0000000000000002,0.1268940101251527,3494,3494
100,z_80,size_90,0.8000000000000002,0.8714416182858846,-0.5117759861486383,1.0,0.1014259500876925,1.0000000000000002,0.10142595008769249,1.0000000000000002,0.10142595008769255,3510,3510
100,z_90,equal,0.9000000000000001,0.0,0.9000000000000001,1.0,0.5306036730589279,1.0000000000000016,0.5306036730589413,1.0000000000000007,0.5306036730589289,3504,3504
100,z_90,size_80,0.9000000000000001,0.7964686621946876,-0.29463027700024136,1.0,0.12282751397679012,1.0000000000000004,0.12282751397679012,1.0000000000000004,0.12282751397679013,3520,3520
