Population,Method,n,Mode,Mm,Ms,Vm,Vs,Lm,Ls,Dm,Ds,Variance,Efficiency
aggregated,best,20,ep,-0.17681299096299244,0.2539225630904093,0.05577108707159549,0.03040251902781649,0.0721374408404925,0.050903226642299675,0.08385674503060045,0.02576436472817613,11592.044772987518,8.681737946882478
aggregated,best,50,ep,-0.27553128873045796,0.3344797687226116,0.06094293556749103,0.04640706603214875,0.044616207036037886,0.03816121586312965,0.03969955944170031,0.00031411075731175436,3582.873157303173,10.891628263945456
aggregated,initial,20,ep,-0.08477593567430534,0.13650752074893802,0.07308362219953146,0.03159878520994294,0.08400256115871514,0.05418791632723443,0.06234448581981139,0.022553729873771525,26278.909168683855,3.8296526823699506
aggregated,initial,50,ep,-0.15710288614442977,0.21812427413439917,0.05932784745721256,0.03915215401025393,0.04518892324314942,0.03561283371304009,0.03059943496745563,0.006286802150119036,9172.224664939793,4.2545101076054905
meuse,best,5,ep,-0.17579220543191562,0.2740222548091915,0.06734803878090076,0.01355664711552793,0.2322318066900608,0.10882423521536985,0.08597290693339575,0.010274631127721326,60441.9885223854,0.9552638515832876
meuse,best,10,ep,-0.20613556823785517,0.2812029275811234,0.06512950083069088,0.01467314017670322,0.1410201346073013,0.06371765878705796,0.05982972246420158,0.01546628958813866,23756.044778899846,1.1747209123881341
meuse,best,20,ep,-0.26442749549478495,0.3263895086930277,0.06150250018514557,0.03200769130179125,0.08572950873082134,0.056077723817851234,0.03538394707724828,0.0074339766874303975,11087.379609436754,1.1716980005287716
meuse,best,5,up,-0.10681441235928715,0.15713562140255852,0.06364557173764644,0.01984646862428699,0.34260273198818086,0.1599494546368147,0.10474942010822882,0.0036888586522337355,14003.850479215358,4.123012227168669
meuse,best,10,up,-0.14538302619451082,0.18767152738432857,0.06649702725136045,0.023297093516553305,0.19769285019063498,0.10969605476793763,0.08089236976453841,0.008608366661797234,6561.174359741168,4.25331214616639
meuse,best,20,up,-0.16017557985412048,0.2162894006851047,0.053858646036573116,0.03267323526273441,0.12149779800107985,0.07183035706723745,0.043221920893405805,0.0013408898328290363,2187.4235398111823,5.938978109654019
meuse,initial,5,ep,-0.13178123610801745,0.201946349395916,0.051772167895853635,0.013858397387037886,0.2322150194863841,0.11310316425263932,0.11202907877839788,0.0279518872628301,54319.564858921935,1.0629327923226788
meuse,initial,10,ep,-0.17588401835508038,0.25417599129127366,0.055534640497462436,0.018762981108395284,0.13756034449777046,0.07282899397109634,0.05708510115458486,0.013257008352497008,31012.371238623356,0.8998577497565575
meuse,initial,20,ep,-0.20689987695560574,0.2845318393246292,0.05653979128765871,0.025156039318800477,0.0825075883637614,0.05248025860915501,0.027959815330816044,0.003359159362588269,9262.650613326994,1.402520840070242
meuse,initial,5,up,-0.10420411198463003,0.15314723031999378,0.08073692384618675,0.009990535679652114,0.3407658303662163,0.1690133349836759,0.09572660300404966,0.00822069297559401,10462.44945134574,5.518597439514525
meuse,initial,10,up,-0.12021202663248283,0.17416199048905623,0.057269365217736096,0.02924116874414506,0.19668492526864703,0.10668753131463801,0.075450580134311,0.0035907376401582702,4780.40129472747,5.837736390077176
meuse,initial,20,up,-0.1387711611526395,0.2021731740290133,0.05272273950451836,0.02338268155279649,0.11811405174235481,0.06654697543124136,0.035256626982618264,0.010126720376444959,3358.1447142585153,3.8685231355042924
regular,best,20,ep,-0.1633140196991115,0.19750837418789088,0.036248390563915586,0.01227081287029848,0.06755018184330239,0.0379054188103063,0.07005719825409011,0.018275039200641597,22910.682352716925,4.50700910417668
regular,best,50,ep,-0.2215762619527578,0.24364883978799154,0.025042523572232342,0.015627477033797937,0.032395752578447394,0.02521040246498588,0.03957924744582715,0.0017396003121493003,8263.653123871529,4.845202151817938
regular,initial,20,ep,-0.11392218793829034,0.14827715458362623,0.05050317475293882,0.01787363008680642,0.07890332638601324,0.04741586674245027,0.03942293364800263,0.008759719475809873,50790.32354179127,2.0330379242737435
regular,initial,50,ep,-0.14937523948134912,0.1703809076661263,0.04299638950336844,0.02397861149463691,0.04347593005471122,0.032147165589793136,0.023881645516906618,0.004769291524355557,24328.015902140505,1.6458008765990864
swiss,best,50,ep,-0.17638701537800958,0.20844573918992035,0.0586844006566783,0.03631334923183506,0.04239810736492791,0.03511536002851178,0.041826449978025974,0.011349306547784198,25543351.03161867,0.7926122848703006
swiss,best,100,ep,-0.23384469334051625,0.26861830282224824,0.059008634444335815,0.045189213776536896,0.031253136687963284,0.026551180141871647,0.019307640176809387,0.0032404323095561478,3523559.99753033,2.7149153006462257
swiss,best,150,ep,-0.28149592520062044,0.3012232723069335,0.06621876447016171,0.05401872402105503,0.027652239625337374,0.024373243526491773,0.016262227586151225,0.007837678367880982,3698135.309863518,1.624124273989842
swiss,best,50,up,-0.06498749758892691,0.0864002143521351,0.08211747645325451,0.043871365897512164,0.15700976353902552,0.11488755114256,0.04343630968167201,0.018740201847672056,1276008.51087635,15.866644816115441
swiss,best,100,up,-0.04148318616207066,0.07683166180978238,0.09131398687488959,0.06181387326903968,0.10409805533669989,0.08658505653045322,0.0236610611025151,0.021422810912609044,353771.5430708139,27.040521312154343
swiss,best,150,up,0.01226976461684049,0.023130341387495507,0.0886388962421028,0.07042867671023684,0.08640426054104625,0.06885731234337188,0.020191619717144043,0.014760872324478652,424997.8649837965,14.132379995549579
swiss,initial,50,ep,-0.14638132422920963,0.1879552283077111,0.05958889334950583,0.03404813090064014,0.04206984852926011,0.034207740596768996,0.03673166303917716,0.00101318006290926,25658602.341520436,0.7890520907934894
swiss,initial,100,ep,-0.19706553063655116,0.24093201474911766,0.05964654903869669,0.04461819455779413,0.030978035807306698,0.025817470659831813,0.01906443514893021,0.0016096788532675745,4552963.308908153,2.1010858864869997
swiss,initial,150,ep,-0.2447746315558712,0.27223666490098997,0.06525028269075635,0.05486169193468203,0.027420592344474484,0.024468285128339692,0.014027336206295015,0.004461794257228027,2618156.488628392,2.2940688806553533
swiss,initial,50,up,-0.07466713414458,0.09382706154233626,0.07100913832395667,0.04982250227909343,0.15312858298358573,0.11454978000523326,0.04399942126050578,0.023896203286071904,1482939.029756953,13.652600287776933
swiss,initial,100,up,-0.07445582625108087,0.10226850398109195,0.09377723277574186,0.06760059976159515,0.1042251334928842,0.0830251911418069,0.02188995063768807,0.02468547299612468,420919.06196347426,22.726856097741152
swiss,initial,150,up,-0.06864655459700834,0.09073205790143164,0.09374700074050786,0.07316589835474732,0.0860415217145258,0.06825226924610404,0.0165774953659669,0.011962627873697694,356792.43436261395,16.833964924110628
