N,n,ite,rho,Method,D,V,M,L,HT
100,4,5000,0,Wave,0.2501267106896914,0.15600000000000022,-0.48921780271827536,0.44886196859724886,189.95218452781967
100,4,5000,0,Wave,0.23705010536600818,0.07120000000000011,-0.34854833778846434,0.3200501614744249,241.54805979128162
100,4,5000,0,Wave,-0.06249104693088124,0.0712000000000001,-0.5291067161269913,0.34934253797363646,204.9211314236427
100,4,5000,0,Wave,0.11083008598571592,0.09920000000000015,-0.3926161054593285,0.32876622328799127,201.77377414928193
100,4,5000,0,Wave,-0.2071970295630716,0.08960000000000012,-0.24930192531974596,0.29025239325669944,248.4346945432182
100,4,5000,0,Wave,-0.12447653909496281,0.0728000000000001,-0.48227564068343476,0.305595884215124,220.30647589481373
100,4,5000,0,Wave,0.13350670586738744,0.21200000000000033,-0.38344728939635386,0.5012315854999773,135.89178381498184
100,4,5000,0,Wave,0.17218938585451068,0.1424000000000002,-0.48149780273950654,0.46107711278779406,258.15206229784326
100,4,5000,0,Wave,0.36497876972053317,0.10560000000000017,-0.32358946974142594,0.34852167867775474,195.59151382268624
100,4,5000,0,Wave,0.05055054118565346,0.048800000000000066,-0.6876000618186254,0.26704808443434574,196.9688325790593
100,4,5000,0,Wave,0.26842014163843114,0.1976000000000003,-0.43072136223645696,0.4223037776385408,157.0854522833563
100,4,5000,0,Wave,-0.19687194871949032,0.25680000000000036,-0.29734926705044035,0.5389769870273456,251.52764196363873
100,4,5000,0,Wave,0.10064589811004873,0.05840000000000008,-0.357281648952818,0.2609884326936195,196.67924802549211
100,4,5000,0,Wave,0.25153860708409703,0.08960000000000012,-0.3273974429303963,0.2939198622437179,233.29381573531123
100,4,5000,0,Wave,-0.13771003114698613,0.07120000000000011,-0.49026725123538745,0.3377058100762312,249.86119770216214
100,4,5000,0,Wave,-0.06538674819914,0.029600000000000036,-0.48823566699995175,0.1933729488068965,209.1405237551104
100,4,5000,0,Wave,0.24218870059404335,0.0728000000000001,-0.3353468100238882,0.32486437632325216,228.15117169576052
100,4,5000,0,Wave,0.15677167566296812,0.1760000000000003,-0.25129403975648035,0.46689307164235627,203.94125547888007
100,4,5000,0,Wave,-0.16332888945571802,0.01680000000000002,-0.5093243748809791,0.1498368435614704,164.23921260120548
100,4,5000,0,Wave,0.29321125206297227,0.08640000000000012,-0.4063325206691058,0.3275716508375684,215.17991977971917
100,4,5000,0,Wave,0.1036534304343116,0.015200000000000016,-0.3589422618438468,0.17675791910257782,179.2089271526931
100,4,5000,0,Wave,-0.11954502674462714,0.05840000000000008,-0.3265279694307855,0.2516162192272454,257.7744906460438
100,4,5000,0,Wave,0.1435558494399477,0.06160000000000009,-0.43519413988924494,0.28131645887842976,198.24211902064786
100,4,5000,0,Wave,0.5693809263303711,0.12320000000000014,-0.34482815410430123,0.47869475126734073,151.33263767642347
100,4,5000,0,Wave,0.26379757030732137,0.08640000000000012,-0.19846415503393613,0.3644041591029339,212.69606622975016
100,4,5000,0,Wave,0.20391962614525466,0.11040000000000015,-0.5455447255899815,0.39518206912613824,233.59919081838072
100,4,5000,0,Wave,0.25759894746831846,0.021600000000000025,-0.4063325206691055,0.2126726398840779,262.0997129346194
100,4,5000,0,Wave,0.09757631415323129,0.040000000000000056,-0.5444936034053489,0.23857743797558909,154.60583476427863
100,4,5000,0,Wave,-0.11298999424462783,0.09360000000000013,-0.21516798462339848,0.3932701428326842,209.97744461306735
