Method,Density,Voronoi,Moran,Local_Balance,HT_Total
Rand,-0.07218100444188086,0.3434662256181656,-0.16306642629815338,0.6604555339975922,74.8497270890257
Rand,-0.5984111778617148,0.2796057455238954,-0.036374956857362264,0.5836697209988279,23.87690234992762
Rand,0.4330406440954696,0.6291249188628478,-0.19362626330015834,2.693806443340894,157.98909418447835
Rand,0.18823240150897635,0.5704838998740958,-0.15459636673683996,2.130887309636284,166.5753694572847
Rand,0.20150200915291117,0.41593311445404346,-0.2398537487481541,1.6703694610791926,62.422267398141166
Rand,0.09588627998337718,0.24318992442924917,-0.04982136621572351,1.3547968973801066,98.39952125968321
Rand,0.25604158030986746,0.33900230842236034,0.03934442092595087,0.4707242800020264,59.937791770581306
Rand,-0.2820162812639223,0.33742187154126213,-0.017826567220517106,0.9788620911686702,71.724136996379
Rand,-0.5949289653029649,0.33916034462610406,-0.1568353164946479,0.3477953967313202,57.99416954846848
Rand,-0.28582237571367464,0.4023667695266333,-0.11472763601827826,0.636711605767029,64.12895340131054
Lopi,0.0974043910245411,0.008813842838052022,-0.3118315660903753,0.274931490725474,39.93729386733242
Lopi,-0.3535204068657436,0.011649259012612968,-0.17306084479953776,0.2966432815570215,42.52467215992245
Lopi,-0.2125007630984397,0.043887590361630965,-0.19496188156631875,0.42378792181350183,39.802889490798634
Lopi,-0.10021209665208125,0.13170754459740636,-0.12405831638589113,0.3419235171617677,49.4637791416543
Lopi,-0.40596085222617195,0.12707713572548002,-0.003701674563987754,0.5150035381209072,39.335517772196056
Lopi,-0.06282378891369372,0.18653785189771438,-0.33105001475455526,0.5287693823428966,31.4354894786511
Lopi,0.07708867275680115,0.13492287323246577,-0.1774057602742002,0.3994697799890384,33.91116100489618
Lopi,0.15893530809589942,0.12536437029575287,-0.21867266656040135,2.0880742870873945,42.758827316376774
Lopi,-0.24233090075000163,0.14351337944920886,-0.08310598527245566,1.4565301667027022,68.82895639022827
Lopi,-0.21279371333993075,0.04563852194733191,-0.21060833327311393,0.3133930734569851,43.13466086420042
Nmcs,-0.4078661550676461,0.055836334780421125,-0.22209243281436788,0.4795361481623858,41.03973277973403
Nmcs,0.145212479469366,0.044055081400174514,-0.2221276444789801,0.38024376353762035,35.282052935027274
Nmcs,-0.37539054737426786,0.0630457606138166,-0.17526014045691557,0.4350987811932418,34.41669878347847
Nmcs,-0.23563163005754018,0.24593563772304466,-0.10222687791460337,1.566150088614646,98.45218908411758
Nmcs,-0.4868602885933907,0.07818196972107022,-0.0920683388280393,0.46261135402683834,31.935397682023414
Nmcs,-0.08504325718525932,0.15882590054905243,-0.32767814211749624,1.4288328568221802,94.82679946834448
Nmcs,-0.45236184681320557,0.05642548817521441,-0.11219641168395411,0.4883409223146897,38.408676523729326
Nmcs,-0.09533439223336679,0.19663884180188146,-0.11041638540992722,1.5143420674004824,78.96807379212588
Nmcs,0.13645454917209304,0.1810726549876044,-0.16373477806310743,0.44562220138318875,53.50860318631858
Nmcs,-0.4868602885933907,0.07818196972107022,-0.0920683388280393,0.46261135402683834,31.935397682023414
