Method,D,V,M,L,HT
Nmcs,0.06241074139211415,0.05478138536594655,-0.34318243266110604,0.3932292730555542,34.705040048472725
Nmcs,0.20954692084447735,0.028667498598512132,-0.12996879921562474,0.3059060139792851,38.764617360138736
Nmcs,-0.499160948568938,0.08232075947374166,-0.03832206631252991,0.5112831891327008,32.841519790262986
Nmcs,0.1249480571362607,0.1374995656712065,-0.02673419254187956,0.5460903639516484,31.423311050165413
Nmcs,-0.04701558353345002,0.3110209696396084,-0.12797826802592852,0.7190938415877544,75.51487983644324
Nmcs,-0.13457218399093004,0.121940357213942,-0.38244059599623426,0.4887437808199115,30.34559559219606
Nmcs,-0.4894270071997285,0.18116393867388975,-0.3583562524389626,0.2695124330817309,53.342822824203985
Nmcs,0.19510010726271998,0.03235523527524215,-0.05020331512473052,0.4129991359480785,31.97982743449241
Nmcs,-0.16565411332804464,0.03427752022499391,-0.14161708261444955,0.37170510921208383,37.97786480115631
Nmcs,-0.43175662596207387,0.2092643647147498,-0.270742408752866,0.3558267242579758,61.13826169239712
Nmcs,-0.038225465649281004,0.11774121708128156,-0.27643225873322036,0.36495750683529476,32.40828494433307
Nmcs,0.1355097517690262,0.37103398514475433,0.006450190288103255,1.7970290829394318,79.57567928698347
Nmcs,0.07068534882039906,0.1701105329401172,-0.2925661038046899,0.4809440651325342,25.053259487061347
Nmcs,0.20954692084447735,0.09469442387121006,-0.05109675407161321,0.4524201731885616,32.67633785566741
Nmcs,0.1249480571362607,0.1374995656712065,-0.02673419254187956,0.5460903639516484,31.423311050165413
Nmcs,0.20954692084447735,0.09469442387121006,-0.05109675407161321,0.4524201731885616,32.67633785566741
Nmcs,-0.16408185043401596,0.2753982285976536,-0.19973777403143989,0.8082232593589884,39.62875605720946
Nmcs,-0.24201211004569012,0.20520942232454975,-0.0602039623922664,0.48303840222425076,28.407069738218667
Nmcs,0.07803227315789456,0.10167163450215078,-0.28996105465042493,0.37196642655160017,31.56449173791633
Nmcs,0.22546158891835327,0.029129541713679756,-0.0946002707807128,0.3047150693410265,39.9330745113296
Nmcs,-0.16565411332804464,0.03427752022499391,-0.14161708261444955,0.37170510921208383,37.97786480115631
Nmcs,0.06827597199197702,0.21280941479300802,0.05837522899696445,0.5908285604345539,29.86873065247304
Nmcs,-0.4894270071997285,0.18116393867388975,-0.3583562524389626,0.2695124330817309,53.342822824203985
Nmcs,-0.16408185043401596,0.2753982285976536,-0.19973777403143989,0.8082232593589884,39.62875605720946
Nmcs,0.2827376982947997,0.09469442387121006,-0.0270881143567327,0.4322571310431388,30.768154918355563
Nmcs,0.041648240955310535,0.04958928443464666,-0.08995549421371021,0.41728682121660915,32.108798351366225
Nmcs,0.06241074139211415,0.05478138536594655,-0.34318243266110604,0.3932292730555542,34.705040048472725
Nmcs,-0.23952329778815368,0.187564758983052,-0.1639818981675589,0.4891984039422403,33.05257223468598
Nmcs,0.1701857241299225,0.025195450005128343,-0.10184068654545293,0.3011637955690317,41.14474702746645
Nmcs,0.05776736800274648,0.0683544775769332,-0.08242232644220682,0.4055501308457672,32.86605282042136
Nmcs,-0.26148960541541616,0.10218887865168672,-0.41360312044883596,0.36379910801885007,33.814741942181634
Nmcs,0.2827376982947997,0.09469442387121006,-0.0270881143567327,0.4322571310431388,30.768154918355563
