case_name,eval_count,source,valid,eff_z,eff_y,z_over_vincent,y_over_vincent,d_K_from_vincent,diag_error,accepted_rotations,last_theta,last_pair,d_omega_from_vincent,d_rho_from_vincent
CS82_N30_n5,1,Vincent_K_seed,True,11.053317879546908,1.4294315536511546,0.9999999881565976,0.9999999969092943,0.0,1.5057314561861546e-09,0.0,0.0,None,,
CS82_N30_n5,2,Vincent_K_local_init,True,11.039119160959231,1.4291049028345226,0.9987154219680336,0.9997714789261926,0.0019364086090379606,1.5057314561861546e-09,3.0,0.05901421314890086,"(2, 10)",,
CS82_N30_n5,3,Vincent_K_local_init,True,11.053313945143604,1.429431514701727,0.9999996322088812,0.9999999696611008,0.0009786841856384335,1.5057314561861546e-09,3.0,-0.016392605159894016,"(6, 9)",,
CS82_N30_n5,4,Vincent_K_local_init,True,11.049922072920111,1.4293238050329233,0.999692767589562,0.9999246182613115,0.0013247586935116633,1.5057314561861546e-09,3.0,0.02820268174826711,"(2, 11)",,
CS82_N30_n5,5,Vincent_K_local_init,True,11.047393448727458,1.4292520026060236,0.999464001513144,0.999874386806371,0.0014298562609649929,1.5057314561861546e-09,3.0,-0.03836379631031201,"(2, 7)",,
CS82_N30_n5,6,Vincent_K_local_init,True,11.049974152800406,1.4293370166589692,0.9996974792861083,0.9999338608346766,0.0009811420341770604,1.5057314561861546e-09,3.0,-0.011367282395986875,"(3, 11)",,
CS82_N30_n5,7,Vincent_K_local_init,True,11.05331787954687,1.429431553651154,0.9999999881565943,0.9999999969092939,0.00044953191138882566,1.5057314561861546e-09,3.0,0.0015922599721200264,"(6, 7)",,
CS82_N30_n5,8,Vincent_K_local_init,True,11.034640164071261,1.428805875697433,0.9983102045587695,0.9995622858834046,0.002347994290921613,1.5057314561861546e-09,3.0,-0.02201981897022507,"(0, 1)",,
CS82_N30_n5,9,Vincent_K_local_init,True,11.053283719867972,1.4294320433588086,0.9999968977109139,1.0000003394983825,0.0014199289190002335,1.5057314561861546e-09,3.0,0.0638264213809739,"(9, 10)",,
CS82_N30_n5,10,Vincent_K_local_init,True,11.051511502338395,1.4294312393344146,0.9998365641777702,0.9999997770199697,0.0007570538890846506,1.5057314561861546e-09,3.0,0.00035753545395155714,"(4, 5)",,
CS82_N30_n5,11,Vincent_K_local_init,True,11.043449444195678,1.4291639212950689,0.9991071851682194,0.9998127669894181,0.0017653903031001582,1.5057314561861546e-09,3.0,-0.05280656445690943,"(4, 7)",,
CS82_N30_n5,12,Vincent_K_local_init,True,11.053317879546848,1.4294315536511546,0.9999999881565922,0.9999999969092943,0.0004479792778909827,1.5057314561861546e-09,3.0,0.022284502708658373,"(25, 27)",,
CS82_N30_n5,13,Vincent_K_local_init,True,11.05017544614723,1.4295724898454334,0.9997156904102825,1.0000985928815767,0.0011061775564194568,1.5057314561861546e-09,3.0,0.032252456952051575,"(10, 13)",,
CS82_N30_n5,14,Vincent_K_local_init,True,11.051151719661995,1.4294430160379155,0.9998040144333352,1.0000080157519569,0.0010967486440168032,1.5057314561861546e-09,3.0,-0.016958960889152296,"(6, 15)",,
CS82_N30_n5,15,Vincent_K_local_init,True,11.051741740322917,1.429456655967314,0.9998573939398656,1.0000175579572632,0.0010763652863367147,1.5057314561861546e-09,3.0,-0.016999285103473538,"(8, 16)",,
CS82_N30_n5,16,Vincent_K_local_init,True,11.052409409489691,1.429497836466697,0.999917798351115,1.0000463669611994,0.0006386017760667397,1.5057314561861546e-09,3.0,0.0009376102968675903,"(6, 17)",,
CS82_N30_n5,17,Vincent_K_local_init,True,11.049238235627474,1.4293094587532043,0.9996309004387218,0.9999145819083024,0.0011689600589353533,1.5057314561861546e-09,3.0,-0.012763189047222817,"(9, 17)",,
CS82_N30_n5,18,Vincent_K_local_init,True,11.048104606566232,1.4293950078779596,0.9995283403694133,0.9999744302614973,0.0009717090889771661,1.5057314561861546e-09,3.0,0.005885316567274945,"(18, 23)",,
CS82_N30_n5,19,Vincent_K_local_init,True,11.05204243965804,1.4294104152210365,0.9998845983806351,0.9999852089119265,0.0011080905401798429,1.5057314561861546e-09,3.0,0.009014440758115354,"(0, 17)",,
CS82_N30_n5,20,Vincent_K_local_init,True,11.051440137073014,1.4294057316569224,0.999830107721409,0.99998193238981,0.0018491062015212033,1.5057314561861546e-09,3.0,0.06941591501221626,"(26, 28)",,
CS82_N30_n5,21,Global_CaDsd_init,False,0.0,0.0,0.0,0.0,0.09775812150781493,8.316666666666195e-05,,,None,,
