case,epsilon,perturbation_type,valid,reason,base_var_y,base_var_z,base_eff_y,base_eff_z,var_y,var_z,eff_y,eff_z,delta_var_y_percent,delta_var_z_percent,delta_eff_z_percent,eig_min,eig_max,trace,max_diag_diff
REG_N30_n5,0.01,"omega+, rho+",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,478.4041403436811,864.4349601480884,134.05236595670024,0.5881856927384861,1.7411920434939443,2.6733637870530957,-2.6037559192057746,-3.2754024389467925e-07,1.0000001374814405,4.999930399999999,7.023318385659949e-06
REG_N30_n5,0.01,"omega+, rho-",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,479.03396345039533,864.2998719396873,133.87611691376995,0.58827762489539,1.8751351853898424,2.6573186692548267,-2.5885330960340514,-3.596398153498427e-07,1.0000001755174392,4.999930399999998,7.023318385659949e-06
REG_N30_n5,0.01,"omega-, rho+",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,464.7199006386674,835.8607643595229,137.99970005247422,0.608293028626205,-1.1690061391489204,-0.7205396693958144,0.7257691238413244,-3.805530235545262e-07,1.0004967186960014,5.0005233,5.517668161433842e-05
REG_N30_n5,0.01,"omega-, rho-",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,465.33134271690886,835.7258570743398,137.81836942706627,0.6083912225020952,-1.0389720515234568,-0.736563298017634,0.7420288098920036,-3.5705756452987893e-07,1.000496646485315,5.000523299999998,5.517668161433842e-05
REG_N30_n5,0.01,"omega+, rho=0",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,479.0337584857735,864.2995381618223,133.8761741954692,0.58827785207826,1.875091595999212,2.65727902474977,-2.588495477372932,-3.4616109019453843e-07,1.000000107505185,4.9999304,7.023318385659949e-06
REG_N30_n5,0.01,"omega-, rho=0",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,465.3286308933625,835.7252616762696,137.8191725994363,0.6083916559399443,-1.0395487692751448,-0.7366340164932539,0.7421005818154969,-3.569651597998386e-07,1.000496702428089,5.000523299999999,5.517668161433842e-05
REG_N30_n5,0.01,"omega=0, rho+",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,469.61104191853155,842.0684189127425,136.56239136659238,0.6038087457531831,-0.12881751555334775,0.016775228300924816,-0.0167724146900472,-3.6390209681973837e-07,1.000286833655629,5.000289599999999,3.177668161434555e-05
REG_N30_n5,0.01,"omega=0, rho-",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,470.216298866945,841.9274776813799,136.38660984548017,0.6039098251815066,-9.880634661563192e-05,3.491701385804902e-05,-3.491700167890244e-05,-4.087777736581021e-07,1.0002868269161092,5.000289600000001,3.177668161434555e-05
REG_N30_n5,0.02,"omega+, rho+",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,477.0160457094153,888.273199353807,134.4424521426238,0.5724007841640955,1.4459889069618814,5.504753444861743,-5.217540693783606,-3.669989446394372e-07,1.0000033346301056,4.999910300000002,1.0223318385654823e-05
REG_N30_n5,0.02,"omega+, rho-",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,478.44394581901673,887.9991515318417,134.04121309711576,0.5725774343195835,1.749657389357373,5.472203382662877,-5.188289622441289,-3.898186616622492e-07,1.0000033862002577,4.999910300000002,1.0223318385654823e-05
REG_N30_n5,0.02,"omega-, rho+",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,473.7943345976942,840.4120813520113,135.35663517590703,0.6049987704176072,0.7608344501237818,-0.17995645975803498,0.1802808868596406,-3.7128263623979535e-07,1.000069681855794,5.000038700000001,9.778026905826742e-06
REG_N30_n5,0.02,"omega-, rho-",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,475.0923214236658,840.1266950450167,134.9868309897655,0.6052042850927676,1.0368745505213939,-0.21385325184621884,0.21431156409512653,-3.567802850325868e-07,1.0000697874024445,5.0000387,9.778026905826742e-06
REG_N30_n5,0.02,"omega+, rho=0",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,478.44371813211035,887.9984887239843,134.0412768860798,0.5725778616951108,1.7496089676667603,5.472124657581867,-5.188218854362969,-3.730744209833572e-07,1.0000033451309784,4.999910299999998,1.0223318385654823e-05
REG_N30_n5,0.02,"omega-, rho=0",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,475.08874080419395,840.1271901325825,134.98784835017415,0.6052039284454411,1.036113067786193,-0.21379444776252754,0.2142525077282631,-3.7295632990963646e-07,1.0000697271610328,5.000038700000001,9.778026905826742e-06
REG_N30_n5,0.02,"omega=0, rho+",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,468.9002581278082,842.2383991870634,136.7693998561875,0.6036868852724219,-0.2799783940972467,0.036964655321525264,-0.03695099651301881,-3.479053235371387e-07,1.0002867807105429,5.000289599999999,3.177668161434555e-05
REG_N30_n5,0.02,"omega=0, rho-",True,OK,470.2167634709502,841.9271837055484,136.3864750868537,0.603910036048784,470.2183512972375,841.9267936120646,136.38601453904695,0.6039103158609621,0.00033767964280340124,-4.633339929505098e-05,4.633342076676428e-05,-3.520497357111994e-07,1.00028688016786,5.0002896,3.177668161434555e-05
