471,735,447,975,759,651,231,75,159,143
668,122,434,92,476,578,938,218,290,338
329,473,185,245,965,533,689,905,77,113
30,305,777,953,705,726,345,417,89,969
997,371,11,301,7,187,925,803,133,295
746,714,998,966,302,638,170,818,602,710
747,861,195,531,99,999,765,855,477,27
297,222,225,33,513,249,9,357,942,630
583,535,715,775,415,91,379,103,475,235
237,35,467,971,629,269,179,125,683,669
120,440,116,332,80,674,728,584,836,548
1,622,910,598,481,334,550,766,433,478
978,924,618,450,834,108,6,294,60,402
144,384,600,96,720,408,132,996,960,936
616,148,136,328,676,880,496,784,724,580
994,322,706,82,346,364,130,850,490,394
203,287,671,983,491,455,911,95,839,851
163,589,517,793,67,805,325,13,307,85
470,862,574,14,902,430,382,241,110,65
704,200,488,608,196,968,88,308,992,776
