Population,Method,n,Mode,Mm,Ms,Vm,Vs,Lm,Ls,Dm,Ds,Var_e4,Eff
meuse,initial,10,ep,-0.4300600096463541,0.0782919729361933,0.07429762160585772,0.03677165938906715,0.21038933846886682,0.06473135052667413,0.04382809280208785,0.07034210950708186,3.1012371238623357,0.8998577497565575
meuse,best,20,up,-0.37646498053922517,0.056113820830984214,0.08653188129930753,0.021185410773838703,0.1933281550683173,0.0496674409338424,0.04061443950552768,0.045055656815910124,0.21874235398111824,5.938978109654019
meuse,best,5,ep,-0.4498144602411071,0.09823004937727588,0.08090468589642869,0.05379139166537283,0.34105604190543065,0.12340757147469095,0.07569827580567445,0.09624753806111706,6.04419885223854,0.9552638515832876
meuse,initial,5,up,-0.2573513423046238,0.048943118335363744,0.09072745952583887,0.07074638816653464,0.5097791653498922,0.1717524953825404,0.08748908180854573,0.10390250652043406,1.046244945134574,5.518597439514525
meuse,best,10,up,-0.3330545535788394,0.04228850118981775,0.08979412076791375,0.04319993373480714,0.30738890495857263,0.08799679542269737,0.07103124960357861,0.08937437303340581,0.6561174359741168,4.25331214616639
meuse,initial,20,up,-0.3409443351816528,0.06340201287637381,0.07610542105731485,0.029340057951721867,0.18466102717359617,0.05156707631111345,0.04538334735906322,0.025129906606173303,0.3358144714258515,3.8685231355042924
meuse,best,5,up,-0.26395003376184567,0.050321209043271364,0.08349204036193343,0.04379910311335945,0.5025521866249956,0.18265327735136616,0.1010605614559951,0.10843827876046257,1.4003850479215358,4.123012227168669
meuse,best,10,ep,-0.4873384958189786,0.07506735934326825,0.0798026410073941,0.05045636065398767,0.20473779339435927,0.07730247582024337,0.04519156306453286,0.07618078110400694,2.3756044778899845,1.1747209123881341
meuse,initial,20,ep,-0.49143171628023496,0.07763196236902345,0.08169583060645919,0.03138375196885823,0.1349878469729164,0.030027329754606383,0.024600655968227775,0.03131897469340431,0.9262650613326994,1.402520840070242
meuse,initial,10,up,-0.29437401712153904,0.053949963856573385,0.08651053396188116,0.02802819647359104,0.30337245658328504,0.089997393954009,0.07904131777446927,0.07185984249415273,0.47804012947274693,5.837736390077176
meuse,best,20,ep,-0.5908170041878127,0.06196201319824275,0.09351019148693682,0.02949480888335432,0.14180723254867258,0.029651784912970113,0.028297340456969564,0.0424220072088733,1.1087379609436754,1.1716980005287716
meuse,initial,5,ep,-0.33372758550393344,0.07016511328789853,0.06563056528289152,0.037913770508815746,0.3453181837390234,0.11911185523374478,0.08481461052894643,0.13964726247947126,5.431956485892194,1.0629327923226788
regular,initial,20,ep,-0.26219934252191657,0.03435496664533587,0.06837680483974524,0.0326295446661324,0.12631919312846351,0.03148745964356296,0.04909531431010013,0.029908684635684406,5.079032354179128,2.0330379242737435
regular,best,50,ep,-0.4652251017407493,0.022072577835233715,0.04067000060603028,0.009415046538434406,0.05760615504343327,0.007185350113461515,0.04085257932908411,0.03819104001535286,0.8263653123871528,4.845202151817938
aggregated,best,50,ep,-0.5951494050836093,0.06607594966508572,0.1073500015996398,0.01939841502822558,0.08251066811421932,0.007976972435454598,0.0391050917251464,0.037780177936949676,0.05380384078562514,72.52887893579644
regular,initial,50,ep,-0.3197561471474754,0.021005668184777157,0.06697500099800535,0.019017778008731525,0.07562309564450435,0.011328764464918083,0.02019586933402645,0.029037604322339643,2.4328015902140505,1.6458008765990864
aggregated,initial,20,ep,-0.22128345642324335,0.05173158507463266,0.1046824074094744,0.04148483698958852,0.13819047748594956,0.029814644831480712,0.08231013662255218,0.04861281954612463,2.6278909168683855,3.8296526823699506
aggregated,initial,50,ep,-0.3752271602788289,0.06102138798996939,0.0984800014674665,0.020175693446958628,0.08080175695618952,0.009576089530109334,0.024050322020594934,0.03696465034182413,0.9172224664939793,4.2545101076054905
regular,best,20,ep,-0.3608223938870024,0.034194354488779374,0.048519203434214064,0.023977577693617105,0.10545560065360869,0.029644763032996093,0.0881772850509081,0.05346485288878898,2.2910682352716925,4.50700910417668
aggregated,best,20,ep,-0.4307355540534017,0.07710957212741683,0.08617360609941198,0.025368568043779,0.12304066748279219,0.021234214198192835,0.10524013445005799,0.06152000181012539,1.1592044772987518,8.681737946882478
swiss,best,150,ep,-0.582719197507554,0.01972734710631302,0.12023748849121675,0.012200040449106685,0.052025483151829144,0.003278996098845602,0.008469919337077239,0.023875149437071766,369.8135309863518,1.624124273989842
swiss,best,150,up,-0.010860576770655017,0.035400106004336,0.15906757295233964,0.018210219531865964,0.1552615728844181,0.017546948197674373,0.004408014978480616,0.034634725275379065,42.49978649837965,14.132379995549579
swiss,initial,50,up,-0.16849419568691626,0.01915992739775626,0.1208316406030501,0.021186636044863247,0.267678362988819,0.038578802978352464,0.02010321797443388,0.06789562454657769,148.2939029756953,13.652600287776933
swiss,best,50,up,-0.15138771194106201,0.02141271676320819,0.12598884235076668,0.038246110555742355,0.2718973146815855,0.04212221239646552,0.026412267710591637,0.06123241554819772,127.60085108763501,15.866644816115441
